FilePath,Artist,Title,Year,RVTags
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Al Martino - Spanish Eyes.mp4,Al Martino,Spanish Eyes,1967,#SlowDance #CrowdFavorite
/Volumes/DJ  MAIN/DJ MEDIA/VIDEO/1960's/8-Al Martino - Spanish Eyes (1967).mp4,Al Martino,Spanish Eyes,1967,#SlowDance #CrowdFavorite #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Alan Price Set - Simon Smith & His Amazing Dancing Bear.mp4,Alan Price Set,Simon Smith & His Amazing Dancing Bear,1967,#BritishInvasion #Novelty #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Aretha Franklin - Natural Woman (You Make Me Feel Like A).mp4,Aretha Franklin,(You Make Me Feel Like A) Natural Woman,1967,#Soul #CrowdFavorite #SingAlong #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Arlo Guthrie - Alice s Restaurant (Live at Farm Aid 2005).mp4,Arlo Guthrie,Alice s Restaurant  (Live at Farm Aid 2005),1967,#DeepCut #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Alice's Restaurant Massacre Illustrated.mp4,Arlo Guthrie,Alice's Restaurant,1967,#DeepCut #Novelty
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Arlo Guthrie - Motorcycle Song.mp4,Arlo Guthrie,Motorcycle Song,1967,#DeepCut #SummerOfLove
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bee Gees - To Love Somebody.mp4,Bee Gees,To Love Somebody,1967,#CrowdFavorite #SlowDance #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bee Gees - To Love Somebody (BW).mp4,Bee Gees,To Love Somebody (BW),1967,#CrowdFavorite #SlowDance #SingAlong #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bobbie Gentry - Niki Hoeky.mp4,Bobbie Gentry,Niki Hoeky,1967,#DeepCut #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bobbie Gentry - Ode To Billie Joe.mp4,Bobbie Gentry,Ode To Billie Joe,1967,#CrowdFavorite #SingAlong #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Box Tops - The Letter.MP4,Box Tops,The Letter,1967,#GarageRock #CrowdFavorite #OneHitWonder #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Brenton Wood - The Oogum Boogum Song.mp4,Brenton Wood,The Oogum Boogum Song,1967,#Novelty #DanceFloor #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Brian Hyland - The Joker Went Wild.mp4,Brian Hyland,The Joker Went Wild,1967,#Novelty #OneHitWonder
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Buffallo Springfield - For What It's Worth (Extended).mp4,Buffallo Springfield,For What It's Worth (Extended),1967,#Psychedelic #SummerOfLove #CrowdFavorite #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Buffalo Springfield - For What It's Worth (TV).mp4,Buffalo Springfield,For What It's Worth (TV),1967,#Psychedelic #SummerOfLove #CrowdFavorite #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Cream - I feel free.mp4,Cream,I feel free,1967,#BritishInvasion #Psychedelic #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Cream - Strange Brew.mp4,Cream,Strange Brew,1967,#BritishInvasion #Psychedelic #DeepCut
"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Dave Dee, Dozy, Beaky, Mick & Tich - Bend It.mp4","Dave Dee, Dozy, Beaky, Mick & Tich",Bend It,1967,#BritishInvasion #Novelty #DanceFloor
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Donovan - Mellow Yellow.mp4,Donovan,Mellow Yellow,1967,#Psychedelic #SummerOfLove #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Donovan - Season Of The Witch .mp4,Donovan,Season Of The Witch,1967,#Psychedelic #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Eric Burdon & The Animals - When I Was Young.mp4,Eric Burdon & The Animals,When I Was Young,1967,#BritishInvasion #Psychedelic #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Etta James - Tell Mama.mp4,Etta James,Tell Mama,1967,#Soul #DanceFloor #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Every Mother's Son - Come On Down To My Boat.mp4,Every Mother's Son,Come On Down To My Boat,1967,#OneHitWonder #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Frank And Nancy Sinatra - Something Stupid.mp4,Frank And Nancy Sinatra,Something Stupid,1967,#CrowdFavorite #SlowDance #SingAlong #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Frankie Valli - Can't Take My Eyes Off You.mp4,Frankie Valli,Can't Take My Eyes Off You,1967,#CrowdFavorite #SingAlong #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Georgie Fame - The Ballad Of Bonnie & Clyde.mp4,Georgie Fame,The Ballad Of Bonnie & Clyde,1967,#BritishInvasion #Novelty #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Grass Roots - Let's Live For Today.mp4,Grass Roots,Let's Live For Today,1967,#Psychedelic #SummerOfLove #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Hank Williams Jr. - Born To Boogie.mp4,Hank Williams Jr.,Born To Boogie,1967,#DeepCut #Novelty
