billboard_title,billboard_artist,graph_track_id,rvtr,year_match_status,vdj_performance_universe_status,workspace_bucket_current,workspace_bucket_correct,exclusion_category,reason_excluded_from_in_both,has_ops_video_link,manual_override,linked_media_count,best_match_label,best_match_year_text,best_match_source_path,parsed_vdj_year,passes_performance_year_filter,passes_decade_folder_filter,passes_ops_video_filter
Light My Fire,The Doors,23653,RVTR261615,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,4,The Doors · Light My Fire,1970,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Doors - Light My Fire.mp4,1970,true,true,true
To Sir With Love,lulu,8379,RVTR265623,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,1,Lulu · To Sir With Love  (Color),,,,false,false,false
The Letter,The Box Tops,19724,RVTR975129,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,1,Box Tops · The Letter,,,,false,false,false
Happy Together,The Turtles,26159,RVTR919708,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,4,The Turtles · Happy Together,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Turtles - Happy Together.mp4,1967,true,true,true
Incense And Peppermints,strawberry alarm clock,4227,RVTR398962,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,1,Strawberry Alarm Clock · Incense And Peppermints,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Strawberry Alarm Clock - Incense And Peppermints.mp4,1967,true,true,true
Ode To Billie Joe,bobbie gentry,12598,RVTR437897,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,Bobbie Gentry · Ode To Billie Joe,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bobbie Gentry - Ode To Billie Joe.mp4,1967,true,true,true
Groovin',The Young Rascals,18217,RVTR241192,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,1,The Young Rascals · Groovin',,,,false,false,false
Somethin' Stupid,nancy sinatra,19595,RVTR363131,matched,excluded,chart_only,chart_only,manual_override_without_performance_link,Manual match override marked matched without ops VIDEO media_track_link,false,true,0,Frank Sinatra · Somethin' Stupid,,,,false,false,false
Kind Of A Drag,The Buckinghams,22961,RVTR834641,matched,in_performance_universe,chart_only,in_both,workspace_set_type_coercion_bug,,true,false,2,The Buckinghams · Kind Of A Drag,1967,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Buckinghams - Kind Of A Drag.mp4,1967,true,true,true
Respect,aretha franklin,20626,RVTR667387,matched,excluded,chart_only,chart_only,performance_year_mismatch,Linked ops VIDEO exists but year_text is not classified as performance year 1967,true,false,3,Aretha Franklin · Respect,1964,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Aretha Franklin - Respect.mp4,1964,false,true,true
