rvtr,track_title,track_artist,rvar,album_id,album_title,rval,album_artist,rvar_album_artist,release_year,release_date,track_number,relationship_source,relationship_confidence,relationship_type,artwork_available,billboard_200_membership,cross_artist_relationship,review_status,duplicate_relationship
"RVTR000524","Pop Lock Drop It","huey","","37408","Notebook Paper","RVAL034292","huey","RVAR006170","2007","","4","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR002457","For The Love Of Him","bobbi martin","","26311","For The Love Of Him","RVAL796757","bobbi martin","RVAR002000","1970","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR003384","In Thee","blue oyster cult","","33848","Mirrors","RVAL766975","blue oyster cult","RVAR005233","1979","","9","canonical_track_album_links","105","appears_on","no","yes","no","ok","yes"
"RVTR004094","Diamond Sun","glass tiger","","40184","Diamond Sun","RVAL188081","glass tiger","RVAR007533","1988","","1","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005300","Brown Arms In Houston","orpheus","","41139","Joyful","RVAL653003","orpheus","RVAR007855","1969","","6","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005300","Brown Arms In Houston","orpheus","","41139","Joyful","RVAL653003","orpheus","RVAR007855","1969","","8","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR005397","Drunk In Love","beyonce","","39118","Beyonce","RVAL283541","beyonce","RVAR006942","2013","","5","canonical_album_tracks","0.95","","no","yes","no","ok","no"
"RVTR005397","Drunk In Love","beyonce","","39118","Beyonce","RVAL283541","beyonce","RVAR006942","2013","","15","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR005411","Again","faith evans","","35166","The First Lady","RVAL787129","faith evans","RVAR005843","2005","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005411","Again","faith evans","","35166","The First Lady","RVAL787129","faith evans","RVAR005843","2005","","4","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR005419","Soul Makossa","afrique","","39281","Soul Makossa","RVAL481611","afrique","RVAR007011","1973","","5","canonical_track_album_links","105","appears_on","no","yes","no","ok","yes"
"RVTR005653","Rings","cymarron","","33518","Rings","RVAL709446","cymarron","RVAR005128","1971","","1","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR005678","Female Of The Species","space","","23488","Spiders","RVAL426002","space","RVAR000846","1997","","3","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR006113","Lust For Life","lana del rey","","32887","Lust For Life","RVAL581890","lana del rey","RVAR004898","2017","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR007844","I Wish I Was Eighteen Again","george burns","","35368","I Wish I Was Eighteen Again","RVAL773141","george burns","RVAR005918","1980","","6","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR009192","A Message To Pretty","love","","40174","Love","RVAL078030","love","RVAR007520","1966","","3","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR009942","Fred Bear","ted nugent","","35538","Happy Defiance Day Everyday","RVAL698160","ted nugent","RVAR006021","2010","","6","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR010065","This Man Is Mine","heart","","32212","Private Audition","RVAL283826","heart","RVAR004654","1982","","4","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR010065","This Man Is Mine","heart","","32212","Private Audition","RVAL283826","heart","RVAR004654","1982","","6","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR014107","If You Don'T Know Me By Now","simply red","","24033","Greatest Hits","RVAL320181","simply red","RVAR001033","1996","","7","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR014191","My Projects","coo coo cal","","22987","Disturbed","RVAL316760","coo coo cal","RVAR000598","2001","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR014525","Boom","snoop dogg","","40591","Doggumentary","RVAL662564","snoop dogg","RVAR007700","2011","","9","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR014525","Boom","snoop dogg","","40591","Doggumentary","RVAL662564","snoop dogg","RVAR007700","2011","","13","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR014612","Romeo And Juliet","sylk-e. fyne","","26761","Raw Sylk","RVAL424162","sylk-e. fyne","RVAR002294","1998","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR014975","Blood On The Dance Floor","michael jackson","","39807","Blood On The Dance Floor: HIStory In The Mix","RVAL687871","michael jackson","RVAR007298","1997","","1","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR016320","I Won'T Be Home Tonight","tony carey","","29871","Tony Carey [I Won't Be Home Tonight]","RVAL175641","tony carey","RVAR003580","1983","","5","canonical_album_tracks","0.74","","no","yes","no","review_required","no"
"RVTR016425","Livin' It Up","ja rule","","38744","Exodus","RVAL508537","ja rule","RVAR006764","2005","","7","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR016486","Tell Me To My Face","keith","","26289","98.6/Ain't Gonna Lie","RVAL309286","keith","RVAR001990","1967","","5","canonical_track_album_links","105","appears_on","no","yes","no","ok","yes"
"RVTR016489","Idaho","The 4 Seasons","","41928","The Genuine Imitation Life Gazette","RVAL198061","The 4 Seasons","RVAR008265","1969","","4","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR016489","Idaho","The 4 Seasons","","41928","The Genuine Imitation Life Gazette","RVAL198061","The 4 Seasons","RVAR008265","1969","","8","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR019162","You Still Own Me","emerson drive","","26348","Countrified","RVAL729983","emerson drive","RVAR002024","2007","","5","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR019793","La Familia","frost","","27555","Smile Now, Die Later","RVAL468917","frost","RVAR002646","1995","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR019793","La Familia","frost","","27555","Smile Now, Die Later","RVAL468917","frost","RVAR002646","1995","","8","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR019957","Baby Got Back","sir mix-a-lot","","39311","Mack Daddy","RVAL086203","sir mix-a-lot","RVAR007038","1992","","3","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR019957","Baby Got Back","sir mix-a-lot","","39311","Mack Daddy","RVAL086203","sir mix-a-lot","RVAR007038","1992","","4","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR020215","Hero","nas","","34171","Untitled","RVAL893537","nas","RVAR005376","2008","","5","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR020223","Hand In My Pocket","alanis morissette","","28572","Jagged Little Pill: Acoustic","RVAL346640","alanis morissette","RVAR003096","2005","","4","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR020280","Ring My Bell","anita ward","","30838","Songs Of Love","RVAL361262","anita ward","RVAR004055","1979","","1","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR020606","Breakthru","queen","","33649","The Miracle","RVAL513214","queen","RVAR005166","1989","","6","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR020916","It'S A Cryin' Shame","gayle mccormick","","22372","Gayle McCormick","RVAL847718","gayle mccormick","RVAR000256","1971","","1","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR021292","Intuition","jewel","","33160","0304","RVAL788807","jewel","RVAR004986","2003","","3","canonical_track_album_links","105","appears_on","no","yes","no","ok","yes"
"RVTR021763","In The Misty Moonlight","jerry wallace","","32586","In The Misty Moonlight","RVAL263078","jerry wallace","RVAR004794","1964","","1","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR022114","Curious Mind Um Um Um Um Um Um","johnny rivers","","27782","Outside Help","RVAL790480","johnny rivers","RVAR002749","1978","","3","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR022688","Green Onions","booker t","","23074","Booker T. & Priscilla","RVAL216347","booker t","RVAR000642","1971","","9","canonical_track_album_links","105","appears_on","no","yes","no","ok","yes"
"RVTR024274","Baby Love","regina","","41037","Curiosity","RVAL861843","regina","RVAR007829","1986","","4","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR024274","Baby Love","regina","","41037","Curiosity","RVAL861843","regina","RVAR007829","1986","","9","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR024449","Flava In Ya Ear","craig mack","","26484","Project: Funk Da World","RVAL713124","craig mack","RVAR002123","1994","","5","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR024449","Flava In Ya Ear","craig mack","","26484","Project: Funk Da World","RVAL713124","craig mack","RVAR002123","1994","","7","canonical_track_album_links","105","appears_on","no","yes","no","ok","no"
"RVTR024794","Fox On The Run","manfred mann","","28839","The Mighty Quinn","RVAL475773","manfred mann","RVAR003196","1968","","5","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR025325","Dear Mama","2pac","","33066","Me Against The World","RVAL166685","2pac","RVAR004955","1995","","9","canonical_album_tracks","0.88","","no","yes","no","ok","no"
