rvtr,track_title,track_artist,rvar,album_id,album_title,rval,album_artist,rvar_album_artist,release_year,release_date,track_number,relationship_source,relationship_confidence,relationship_type,artwork_available,billboard_200_membership,cross_artist_relationship,review_status,duplicate_relationship
"RVTR100150","Where Is My Mind","The Vanilla Fudge","","35012","Rock & Roll","RVAL988415","vanilla fudge","RVAR005772","1969","","10","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR141644","Paranoimia","art of noise","","41786","In Visible Silence","RVAL561654","The Art Of Noise","RVAR008198","1986","","2","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR186654","Gloria","shadows of knight","","41397","Gloria","RVAL261880","The Shadows Of Knight","RVAR008037","1966","","1","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR190795","Al Di La","The Ray Charles Singers","","24285","Al-Di-La And Other Extra-Special Songs For Young Lovers","RVAL801970","ray charles singers","RVAR001151","1964","","2","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR211337","Torture","The Jacksons","","33228","Victory","RVAL937522","jacksons","RVAR005021","1984","","1","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR328314","Here Is Where Your Love Belongs","The Sons Of Champlin","","39957","A Circle Filled With Love","RVAL782887","sons of champlin","RVAR007369","1976","","6","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR333435","Breaker Breaker","outlaws","","42733","Lady In Waiting","RVAL132357","The Outlaws","RVAR008670","1976","","3","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR357285","Love You So Much","new colony six","","42580","Colonization","RVAL228358","The New Colony Six","RVAR008592","1967","","1","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR359399","You Keep Me Hangin' On","The Vanilla Fudge","","35014","Vanilla Fudge","RVAL274271","vanilla fudge","RVAR005772","1967","","2","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR541916","This Ol' Cowboy","The Marshall Tucker Band","","28245","Where We All Belong","RVAL328780","marshall tucker band","RVAR002932","1974","","6","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR564382","Body","The Jacksons","","33228","Victory","RVAL937522","jacksons","RVAR005021","1984","","8","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR589525","Martians Vs Goblins","game","","41496","The R.E.D. Album","RVAL912282","The Game","RVAR008043","2011","","7","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR850139","Crystal Blue Persuasion","tommy james","","34358","Crimson & Clover","RVAL398140","tommy james and the shondells","RVAR000046","1969","","1","canonical_album_tracks","0.74","","yes","yes","yes","review_required","no"
"RVTR890082","Welcome Me Love","The Brooklyn Bridge","","27995","Brooklyn Bridge","RVAL757735","brooklyn bridge","RVAR002810","1969","","3","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR893517","Red Nation","game","","41496","The R.E.D. Album","RVAL912282","The Game","RVAR008043","2011","","8","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
"RVTR984406","Barbara I Love You","new colony six","","42579","Attacking A Straw Man","RVAL361329","The New Colony Six","RVAR008592","1969","","1","canonical_album_tracks","1.0","","no","yes","yes","curated","no"
"RVTR999355","Save The Last Dance For Me","The Defranco Family","","35238","Save The Last Dance For Me","RVAL836720","defranco family","RVAR005873","1974","","9","canonical_album_tracks","1.0","","yes","yes","yes","curated","no"
