rvtr,track_title,track_artist,rvar,album_id,album_title,rval,album_artist,rvar_album_artist,release_year,release_date,track_number,relationship_source,relationship_confidence,relationship_type,artwork_available,billboard_200_membership,cross_artist_relationship,review_status,duplicate_relationship
"RVTR000174","A Song For You","leon russell","","21965","Leon Russell","RVAL745035","leon russell","RVAR000114","1970","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000205","Falling In Love Is Hard On The Knees","aerosmith","","25715","Nine Lives","RVAL783132","aerosmith","RVAR001763","1997","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000247","Stronger Woman","jewel","","33166","Perfectly Clear","RVAL910107","jewel","RVAR004986","2008","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000277","Only One Road","celine dion","","32387","My Love: Essential Collection","RVAL980484","celine dion","RVAR004700","2008","","5","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000354","Have Yourself A Merry Little Christmas","michael buble","","30913","Christmas","RVAL060908","michael buble","RVAR004091","2011","","12","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000403","I Don'T Want To Live Without You","foreigner","","30938","Inside Information","RVAL910419","foreigner","RVAR004102","1987","","4","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000415","Where It Ends","bailey zimmerman","","43511","Religiously. The Album.","RVAL000064","bailey zimmerman","RVAR003631","2023","","12","canonical_album_tracks","1.0","","yes","no","no","curated","no"
"RVTR000524","Pop Lock Drop It","huey","","37408","Notebook Paper","RVAL034292","huey","RVAR006170","2007","","4","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR000582","Inner City Blues Make Me Wanna Holler","marvin gaye","","23745","What's Going On","RVAL369283","marvin gaye","RVAR000918","1971","","9","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000623","Do You Believe Me Now","jimmy wayne","","24488","Do You Believe Me Now","RVAL822663","jimmy wayne","RVAR001216","2008","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000642","Angel In Disguise","brandy","","40148","The Best Of Brandy","RVAL473533","brandy","RVAR007508","2005","","7","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000645","Woman To Woman","barbara mandrell","","33571","The Best Of Barbara Mandrell","RVAL799885","barbara mandrell","RVAR005146","1979","","9","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000663","She'S Not You","elvis presley","","40949","Golden Records Vol. 3","RVAL554886","elvis presley","RVAR007802","1963","","1","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000670","Wait On Love","michael bolton","","38491","The Hunger","RVAL284151","michael bolton","RVAR006640","1987","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR000698","Caribbean Blue","enya","","26013","Shepherd Moons","RVAL444287","enya","RVAR001914","1991","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000799","Incomplete","sisqo","","30068","Unleash The Dragon","RVAL695092","sisqo","RVAR003675","1999","","6","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000816","Georgia On My Mind","ray charles","","37683","Genius: The Ultimate Ray Charles Collection","RVAL605289","ray charles","RVAR006319","2009","","9","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000882","I Wanna Get With U","guy","","30404","The Future","RVAL029611","guy","RVAR003824","1990","","2","canonical_album_tracks","1.0","","yes","yes","no","curated","no"
"RVTR000959","Give It To Me Baby","rick james","","33580","Street Songs","RVAL198237","rick james","RVAR005148","1981","","6","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR000968","I Know What You Want","busta rhymes","","31981","It Ain't Safe No More...","RVAL465165","busta rhymes","RVAR004577","2002","","2","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR000970","You'Ll Never Walk Alone","gerry and the pacemakers","","35590","Gerry & The Pacemakers Greatest Hits","RVAL430563","gerry and the pacemakers","RVAR006049","1965","","1","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR001002","Breathe Stretch Shake","mase","","39295","Welcome Back","RVAL271654","mase","RVAR007028","2004","","2","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR001196","Throw It In The Bag","fabolous","","31060","Loso's Way (Soundtrack)","RVAL886358","fabolous","RVAR004154","2009","","14","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR001257","Sunflower","glen campbell","","33454","Southern Nights","RVAL016147","glen campbell","RVAR005102","1977","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR001341","When You'Re In Love With A Beautiful Woman","dr. hook","","21786","Pleasure + Pain","RVAL674311","dr. hook","RVAR000036","1978","","3","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR001420","New Girl Now","honeymoon suite","","27479","Honeymoon Suite","RVAL273769","honeymoon suite","RVAR002615","1984","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR001515","In Your Eyes","kylie minogue","","38690","Fever","RVAL440101","kylie minogue","RVAR006737","2002","","8","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR001525","Make Up Your Mind","aurra","","34869","A Little Love","RVAL657458","aurra","RVAR005719","1982","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR001568","Ride Wit U","joe","","33614","And Then...","RVAL683600","joe","RVAR005160","2004","","4","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR001664","You Can Have Him","dionne warwick","","28295","The Sensitive Sound Of Dionne Warwick","RVAL667467","dionne warwick","RVAR002945","1965","","5","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR001679","Right Here","staind","","28237","Chapter V","RVAL252202","staind","RVAR002931","2005","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR001700","When You Need My Love","darryl worley","","35105","Have You Forgotten?","RVAL847598","darryl worley","RVAR005810","2003","","11","canonical_album_tracks","0.86","","yes","yes","no","ok","no"
"RVTR001854","Goodbye Marlon Brando","elton john","","37635","Reg Strikes Back","RVAL298458","elton john","RVAR006296","1988","","6","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR001941","Making Every Minute Count","spanky and our gang","","28368","Spanky And Our Gang","RVAL416388","spanky and our gang","RVAR002986","1967","","4","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR001951","Love Walks In","van halen","","27523","5150","RVAL989906","van halen","RVAR002632","1986","","7","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR002077","Just In Case","jaheim","","25686","Classic Jaheim Vol. 1","RVAL022446","jaheim","RVAR001754","2008","","3","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR002344","Wrapped Around Your Finger","The Police","","42553","Synchronicity","RVAL909994","The Police","RVAR008576","1983","","9","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR002390","99 9 Sure I'Ve Never Been Here Before","brian mccomas","","24701","Brian McComas","RVAL946958","brian mccomas","RVAR001321","2003","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR002457","For The Love Of Him","bobbi martin","","26311","For The Love Of Him","RVAL796757","bobbi martin","RVAR002000","1970","","2","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR002528","Angel","rod stewart","","26219","Never A Dull Moment","RVAL189549","rod stewart","RVAR001978","1972","","5","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR002531","Don'T Take Your Guns To Town","johnny cash","","27924","The Legend Of Johnny Cash: Vol. II","RVAL833499","johnny cash","RVAR002767","2006","","6","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR002651","Young Birds Fly","The Cryan' Shames","","42908","A Scratch In The Sky","RVAL877348","The Cryan' Shames","RVAR008748","1968","","9","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR002662","My Sweet Summer Suite","love unlimited orchestra","","34392","My Sweet Summer Suite","RVAL393245","love unlimited orchestra","RVAR005490","1976","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR002814","Fine Again","seether","","28057","Disclaimer","RVAL625718","seether","RVAR002845","2002","","3","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR002832","Big Machine","goo goo dolls","","34031","Gutterflower","RVAL486082","goo goo dolls","RVAR005317","2002","","8","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR002857","If Only I Had My Mind On Something Else","bee gees","","24098","Cucumber Castle","RVAL392422","bee gees","RVAR001053","1970","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR002877","Paper Mache","dionne warwick","","28285","I'll Never Fall In Love Again","RVAL491607","dionne warwick","RVAR002945","1970","","6","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR002978","My Life","billy joel","","30861","52nd Street","RVAL482228","billy joel","RVAR004068","1978","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR003019","Boom Clap","charli xcx","","39780","Sucker","RVAL820868","charli xcx","RVAR007270","2015","","4","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR003052","Wanted You More","lady antebellum","","39916","Own The Night","RVAL548785","lady antebellum","RVAR007344","2011","","8","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR003095","Mandrill","mandrill","","29000","The Best Of Mandrill","RVAL114614","mandrill","RVAR003273","1975","","2","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR003110","Keep Your Eye On Me","herb alpert","","24332","Keep Your Eye On Me","RVAL598143","herb alpert","RVAR001157","1987","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
