rvtr,track_title,track_artist,rvar,album_id,album_title,rval,album_artist,rvar_album_artist,release_year,release_date,track_number,relationship_source,relationship_confidence,relationship_type,artwork_available,billboard_200_membership,cross_artist_relationship,review_status,duplicate_relationship
"RVTR000103","I Can'T Help Myself","Kelly Family","","","","","","","","","","","","","","","","","no"
"RVTR000175","Liar Liar","The Castaways","","","","","","","","","","","","","","","","","no"
"RVTR000191","Cotton Candy","lil wayne","","","","","","","","","","","","","","","","","no"
"RVTR000220","It'S Not Right But It'S Ok","whitney houston","","","","","","","","","","","","","","","","","no"
"RVTR000231","Pop Ur Sht","21 savage, young thug","","","","","","","","","","","","","","","","","no"
"RVTR000260","The Boxer","simon","","","","","","","","","","","","","","","","","no"
"RVTR000290","Style Taylor'S Version","taylor swift","","","","","","","","","","","","","","","","","no"
"RVTR000294","Laugh At Me","sonny","","","","","","","","","","","","","","","","","no"
"RVTR000311","Emilia Polka","Lawrence Welk And Myron Floren","","","","","","","","","","","","","","","","","no"
"RVTR000326","Dicked Down In Dallas","trey lewis","","","","","","","","","","","","","","","","","no"
"RVTR000337","Go To Town","doja cat","","","","","","","","","","","","","","","","","no"
"RVTR000344","I Need Your Loving","don gardner and dee dee ford","","","","","","","","","","","","","","","","","no"
"RVTR000404","Tip Toe Thru' The Tulips With Me","tiny tim","","","","","","","","","","","","","","","","","no"
"RVTR000457","Now That You'Ve Gone","connie stevens","","","","","","","","","","","","","","","","","no"
"RVTR000499","Swamp Thing","Grind","","","","","","","","","","","","","","","","","no"
"RVTR000523","Pop Lock Drop It","huey","","","","","","","","","","","","","","","","","no"
"RVTR000538","Death By A Thousand Cuts","taylor swift","","","","","","","","","","","","","","","","","no"
"RVTR000579","Dancing In Paradise","el coco","","","","","","","","","","","","","","","","","no"
"RVTR000583","Inner City Blues Make Me Wanna Holler","marvin gaye","","","","","","","","","","","","","","","","","no"
"RVTR000605","Nosedive","post malone","","","","","","","","","","","","","","","","","no"
"RVTR000629","Right String But The Wrong Yo Yo","dr. feelgood and the interns","","","","","","","","","","","","","","","","","no"
"RVTR000640","Expression","salt-n-pepa","","","","","","","","","","","","","","","","","no"
"RVTR000664","She'S Not You","elvis presley","","","","","","","","","","","","","","","","","no"
"RVTR000667","But I Do","bobby vinton","","","","","","","","","","","","","","","","","no"
"RVTR000686","Ppel Ga","Anna Järvinen","","","","","","","","","","","","","","","","","no"
"RVTR000736","Sue'S Gotta Be Mine","del shannon","","","","","","","","","","","","","","","","","no"
"RVTR000738","Baby Talk","alisha","","","","","","","","","","","","","","","","","no"
"RVTR000739","I Fought The Law","johnny cash","","","","","","","","","","","","","","","","","no"
"RVTR000758","Hollow The","Perfect Circle","","","","","","","","","","","","","","","","","no"
"RVTR000815","Mill Valley","miss abrams and the strawberry point school third grade class","","","","","","","","","","","","","","","","","no"
