rvtr,track_title,track_artist,rvar,album_id,album_title,rval,album_artist,rvar_album_artist,release_year,release_date,track_number,relationship_source,relationship_confidence,relationship_type,artwork_available,billboard_200_membership,cross_artist_relationship,review_status,duplicate_relationship
"RVTR000174","A Song For You","leon russell","","21965","Leon Russell","RVAL745035","leon russell","RVAR000114","1970","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000174","A Song For You","leon russell","","21966","Leon Russell & The Shelter People","RVAL143814","leon russell","RVAR000114","1971","","7","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000174","A Song For You","leon russell","","21961","Best Of Leon","RVAL388794","leon russell","RVAR000114","1976","","5","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000205","Falling In Love Is Hard On The Knees","aerosmith","","25715","Nine Lives","RVAL783132","aerosmith","RVAR001763","1997","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000205","Falling In Love Is Hard On The Knees","aerosmith","","25699","A Little South Of Sanity","RVAL317984","aerosmith","RVAR001763","1998","","3","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000247","Stronger Woman","jewel","","33166","Perfectly Clear","RVAL910107","jewel","RVAR004986","2008","","1","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000247","Stronger Woman","jewel","","33166","Perfectly Clear","RVAL910107","jewel","RVAR004986","2008","","9","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR000277","Only One Road","celine dion","","32387","My Love: Essential Collection","RVAL980484","celine dion","RVAR004700","2008","","5","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000354","Have Yourself A Merry Little Christmas","michael buble","","30913","Christmas","RVAL060908","michael buble","RVAR004091","2011","","12","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000403","I Don'T Want To Live Without You","foreigner","","30938","Inside Information","RVAL910419","foreigner","RVAR004102","1987","","4","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000415","Where It Ends","bailey zimmerman","","43511","Religiously. The Album.","RVAL000064","bailey zimmerman","RVAR003631","2023","","12","canonical_album_tracks","1.0","","yes","no","no","curated","no"
"RVTR000524","Pop Lock Drop It","huey","","37408","Notebook Paper","RVAL034292","huey","RVAR006170","2007","","4","canonical_album_tracks","0.88","","no","yes","no","ok","no"
"RVTR000582","Inner City Blues Make Me Wanna Holler","marvin gaye","","23745","What's Going On","RVAL369283","marvin gaye","RVAR000918","1971","","9","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000582","Inner City Blues Make Me Wanna Holler","marvin gaye","","23732","Marvin Gaye Anthology","RVAL585441","marvin gaye","RVAR000918","1974","","35","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000582","Inner City Blues Make Me Wanna Holler","marvin gaye","","23722","Every Great Hit Of Marvin Gaye","RVAL909724","marvin gaye","RVAR000918","1983","","13","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000582","Inner City Blues Make Me Wanna Holler","marvin gaye","","23723","Gold","RVAL987569","marvin gaye","RVAR000918","2018","","18","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000623","Do You Believe Me Now","jimmy wayne","","24488","Do You Believe Me Now","RVAL822663","jimmy wayne","RVAR001216","2008","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000642","Angel In Disguise","brandy","","40148","The Best Of Brandy","RVAL473533","brandy","RVAR007508","2005","","7","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000645","Woman To Woman","barbara mandrell","","33571","The Best Of Barbara Mandrell","RVAL799885","barbara mandrell","RVAR005146","1979","","9","canonical_track_album_links","105","appears_on","yes","yes","no","ok","yes"
"RVTR000663","She'S Not You","elvis presley","","40949","Golden Records Vol. 3","RVAL554886","elvis presley","RVAR007802","1963","","1","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000670","Wait On Love","michael bolton","","38491","The Hunger","RVAL284151","michael bolton","RVAR006640","1987","","1","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR000670","Wait On Love","michael bolton","","38491","The Hunger","RVAL284151","michael bolton","RVAR006640","1987","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000698","Caribbean Blue","enya","","26013","Shepherd Moons","RVAL444287","enya","RVAR001914","1991","","2","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000698","Caribbean Blue","enya","","26013","Shepherd Moons","RVAL444287","enya","RVAR001914","1991","","3","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR000698","Caribbean Blue","enya","","26015","The Very Best Of Enya","RVAL451194","enya","RVAR001914","2009","","4","canonical_album_tracks","0.92","","yes","yes","no","ok","no"
"RVTR000799","Incomplete","sisqo","","30068","Unleash The Dragon","RVAL695092","sisqo","RVAR003675","1999","","6","canonical_album_tracks","0.74","","yes","yes","no","review_required","no"
"RVTR000799","Incomplete","sisqo","","30068","Unleash The Dragon","RVAL695092","sisqo","RVAR003675","1999","","7","canonical_track_album_links","105","appears_on","yes","yes","no","ok","no"
"RVTR000816","Georgia On My Mind","ray charles","","37683","Genius: The Ultimate Ray Charles Collection","RVAL605289","ray charles","RVAR006319","2009","","9","canonical_album_tracks","0.88","","yes","yes","no","ok","no"
"RVTR000816","Georgia On My Mind","ray charles","","37685","Hit The Road, Jack","RVAL883377","ray charles","RVAR006319","2013","","3","canonical_album_tracks","0.88","","no","yes","no","ok","no"
