rvtr,rvar,track_title,track_artist,album_id,rval,album_title,album_artist,release_year,first_billboard_200_date,chronology_value,track_position,artwork_available,relationship_sources,cross_artist,duplicate_rows_removed,current_primary_heuristic,historical_album,artwork_album
"RVTR005324","RVAR005799","Creep","radiohead","35080","RVAL445954","Pablo Honey","RVAR005799","1993","1993-05-29","release_year:1993","10","yes","canonical_track_album_links|canonical_album_tracks","no","1","35080","35080","35082"
"RVTR005579","RVAR008038","The Ballad Of John And Yoko","The Beatles","41409","RVAL797131","Hey Jude","RVAR008038","1970","1970-03-21","release_year:1970","10","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","41409","41409","41437"
"RVTR026294","RVAR001018","Heartless","kris allen","23989","RVAL630107","Season 8 Favorite Performances","RVAR001018","2009","2009-06-06","release_year:2009","6","yes","canonical_album_tracks|canonical_track_album_links","no","0","23988","23989","23988"
"RVTR032737","RVAR005240","Who Am I","petula clark","33858","RVAL457952","I Couldn't Live Without Your Love","RVAR005240","1966","1966-09-03","release_year:1966","45","yes","canonical_track_album_links|canonical_album_tracks","no","1","33864","33858","33864"
"RVTR037905","RVAR008038","Revolution","The Beatles","41409","RVAL797131","Hey Jude","RVAR008038","1970","1970-03-21","release_year:1970","6","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","41409","41409","41437"
"RVTR043925","RVAR008443","Harlem Shuffle","The Rolling Stones","42279","RVAL605241","Dirty Work","RVAR008443","1986","1986-04-12","release_year:1986","3","yes","canonical_album_tracks|canonical_album_tracks","no","0","42279","42279","42294"
"RVTR047214","RVAR006040","Just Like A Pill","p!nk","35573","RVAL226052","M!ssundaztood","RVAR006040","2001","2001-12-08","release_year:2001","3","yes","canonical_album_tracks|canonical_album_tracks","no","0","35573","35573","35571"
"RVTR048107","RVAR003699","U Understand","juvenile","30136","RVAL122397","Tha G-Code","RVAR003699","2000","2000-01-01","release_year:2000","10","yes","canonical_track_album_links|canonical_album_tracks","no","1","30136","30136","30137"
"RVTR053477","RVAR005240","A Sign Of The Times","petula clark","33862","RVAL882223","My Love","RVAR005240","1966","1966-04-09","release_year:1966","7","yes","canonical_album_tracks|canonical_album_tracks","no","0","33862","33862","33864"
"RVTR067424","RVAR000036","Better Love Next Time","dr. hook","21783","RVAL764456","Dr. Hook & The Medicine Show","RVAR000036","1972","1972-04-29","release_year:1972","1","yes","canonical_track_album_links|canonical_album_tracks","no","1","21783","21783","21789"
