rvtr,rvar,track_title,track_artist,album_id,rval,album_title,album_artist,release_year,first_billboard_200_date,chronology_value,track_position,artwork_available,relationship_sources,cross_artist,duplicate_rows_removed,current_primary_heuristic,historical_album,artwork_album
"RVTR100150","RVAR005772","Where Is My Mind","The Vanilla Fudge","35012","RVAL988415","Rock & Roll","RVAR005772","1969","1969-10-25","release_year:1969","10","yes","canonical_album_tracks","yes","0","35012","35012","35012"
"RVTR141644","RVAR008198","Paranoimia","art of noise","41786","RVAL561654","In Visible Silence","RVAR008198","1986","1986-05-03","release_year:1986","2","yes","canonical_album_tracks","yes","0","41786","41786","41786"
"RVTR186654","RVAR008037","Gloria","shadows of knight","41397","RVAL261880","Gloria","RVAR008037","1966","1966-05-14","release_year:1966","1","yes","canonical_album_tracks","yes","0","41397","41397","41397"
"RVTR190795","RVAR001151","Al Di La","The Ray Charles Singers","24285","RVAL801970","Al-Di-La And Other Extra-Special Songs For Young Lovers","RVAR001151","1964","1964-09-05","release_year:1964","2","yes","canonical_album_tracks","yes","0","24285","24285","24285"
"RVTR211337","RVAR005021","Torture","The Jacksons","33228","RVAL937522","Victory","RVAR005021","1984","1984-07-21","release_year:1984","1","yes","canonical_album_tracks","yes","0","33228","33228","33228"
"RVTR328314","RVAR007369","Here Is Where Your Love Belongs","The Sons Of Champlin","39957","RVAL782887","A Circle Filled With Love","RVAR007369","1976","1976-06-05","release_year:1976","6","yes","canonical_album_tracks","yes","0","39957","39957","39957"
"RVTR333435","RVAR008670","Breaker Breaker","outlaws","42733","RVAL132357","Lady In Waiting","RVAR008670","1976","1976-04-10","release_year:1976","3","yes","canonical_album_tracks","yes","0","42733","42733","42733"
"RVTR357285","RVAR008592","Love You So Much","new colony six","42580","RVAL228358","Colonization","RVAR008592","1967","1967-09-02","release_year:1967","1","yes","canonical_album_tracks","yes","0","42580","42580","42580"
"RVTR359399","RVAR005772","You Keep Me Hangin' On","The Vanilla Fudge","35014","RVAL274271","Vanilla Fudge","RVAR005772","1967","1967-09-16","release_year:1967","2","yes","canonical_album_tracks","yes","0","35014","35014","35014"
"RVTR541916","RVAR002932","This Ol' Cowboy","The Marshall Tucker Band","28245","RVAL328780","Where We All Belong","RVAR002932","1974","1974-12-21","release_year:1974","6","yes","canonical_album_tracks","yes","0","28245","28245","28245"
"RVTR564382","RVAR005021","Body","The Jacksons","33228","RVAL937522","Victory","RVAR005021","1984","1984-07-21","release_year:1984","8","yes","canonical_album_tracks","yes","0","33228","33228","33228"
"RVTR589525","RVAR008043","Martians Vs Goblins","game","41496","RVAL912282","The R.E.D. Album","RVAR008043","2011","2011-09-10","release_year:2011","7","yes","canonical_album_tracks","yes","0","41496","41496","41496"
"RVTR890082","RVAR002810","Welcome Me Love","The Brooklyn Bridge","27995","RVAL757735","Brooklyn Bridge","RVAR002810","1969","1969-03-29","release_year:1969","3","yes","canonical_album_tracks","yes","0","27995","27995","27995"
"RVTR893517","RVAR008043","Red Nation","game","41496","RVAL912282","The R.E.D. Album","RVAR008043","2011","2011-09-10","release_year:2011","8","yes","canonical_album_tracks","yes","0","41496","41496","41496"
"RVTR984406","RVAR008592","Barbara I Love You","new colony six","42579","RVAL361329","Attacking A Straw Man","RVAR008592","1969","1969-11-01","release_year:1969","1","no","canonical_album_tracks","yes","0","42579","42579",""
"RVTR999355","RVAR005873","Save The Last Dance For Me","The Defranco Family","35238","RVAL836720","Save The Last Dance For Me","RVAR005873","1974","1974-06-29","release_year:1974","9","yes","canonical_album_tracks","yes","0","35238","35238","35238"
