rvtr,rvar,track_title,track_artist,album_id,rval,album_title,album_artist,release_year,first_billboard_200_date,chronology_value,track_position,artwork_available,relationship_sources,cross_artist,duplicate_rows_removed,current_primary_heuristic,historical_album,artwork_album
"RVTR189191","","A Fifth Of Beethoven","walter murphy","","","","","","","","","","","","","","",""
"RVTR247090","","Come Softly To Me","The Fleetwoods","","","","","","","","","","","","","","",""
"RVTR594135","","Set Adrift On Memory Bliss","p.m. dawn","","","","","","","","","","","","","","",""
"RVTR845614","","Shake Ya Tailfeather","nelly, p. diddy","","","","","","","","","","","","","","",""
"RVTR781957","","Thrift Shop","macklemore","","","","","","","","","","","","","","",""
"RVTR531097","","After The Love Has Gone","earth, wind","","","","","","","","","","","","","","",""
"RVTR253543","","Birds Of A Feather","billie eilish","","","","","","","","","","","","","","",""
"RVTR612478","","Forever After All","luke combs","","","","","","","","","","","","","","",""
"RVTR427166","","Lift Me Up","rihanna","","","","","","","","","","","","","","",""
"RVTR770779","","Time After Time","inoj","","","","","","","","","","","","","","",""
"RVTR854763","","Basketball Jones Featuring Tyrone Shoelaces","cheech","","","","","","","","","","","","","","",""
"RVTR113665","","FTCU","nicki minaj","","","","","","","","","","","","","","",""
"RVTR656647","","Before And After","chad","","","","","","","","","","","","","","",""
"RVTR060130","","Some Things Are Better Left Unsaid","daryl hall undefined john oates","","","","","","","","","","","","","","",""
"RVTR421270","","After Hours","The Weeknd","","","","","","","","","","","","","","",""
"RVTR551079","","Feather","sabrina carpenter","","","","","","","","","","","","","","",""
"RVTR601980","","Left And Right","charlie puth","","","","","","","","","","","","","","",""
"RVTR858488","","Birds Of A Feather","The Raiders","","","","","","","","","","","","","","",""
"RVTR416729","","Shake A Tail Feather","james","","","","","","","","","","","","","","",""
"RVTR760267","","Stick Shift","duals","","","","","","","","","","","","","","",""
"RVTR669063","","Afterglow","ed sheeran","","","","","","","","","","","","","","",""
"RVTR898265","","Softly Whispering I Love You","The English Congregation","","","","","","","","","","","","","","",""
"RVTR856276","","After A Few","travis denning","","","","","","","","","","","","","","",""
"RVTR232905","","Super Fly Meets Shaft","john","","","","","","","","","","","","","","",""
"RVTR070878","","Lift Me Up","howard jones","","","","","","","","","","","","","","",""
"RVTR483544","","This Afternoon","nickelback","","","","","","","","","","","","","","",""
"RVTR559818","","After All The Bars Are Closed","thomas rhett","","","","","","","","","","","","","","",""
"RVTR057409","","Love On A Rooftop","desmond child","","","","","","","","","","","","","","",""
"RVTR017867","","Time After Time","timmy t","","","","","","","","","","","","","","",""
"RVTR551153","","wgft","gunna featuring burna boy","","","","","","","","","","","","","","",""
"RVTR645973","","After Dark","drake","","","","","","","","","","","","","","",""
"RVTR811327","","Come Softly To Me","ronnie height","","","","","","","","","","","","","","",""
"RVTR167855","","Shiftwork","kenny chesney duet","","","","","","","","","","","","","","",""
"RVTR139579","","After I Cry Tonight","lanier","","","","","","","","","","","","","","",""
"RVTR004410","","This Gift","98 degrees","","","","","","","","","","","","","","",""
"RVTR394774","","Shake A Tail Feather","The Five Du-tones","","","","","","","","","","","","","","",""
"RVTR941685","","Cry Softly Lonely One","roy orbison","","","","","","","","","","","","","","",""
"RVTR107790","","No Child Left Behind","kanye west","","","","","","","","","","","","","","",""
"RVTR872898","","Son Of Shaft","The Bar-kays","","","","","","","","","","","","","","",""
"RVTR915442","","Never Left","lil tecca","","","","","","","","","","","","","","",""
"RVTR079252","","After Party","don toliver","","","","","","","","","","","","","","",""
"RVTR846822","","I Don't Wanna Live Forever (Fifty Shades Darker)","zayn / taylor swift","","","","","","","","","","","","","","",""
"RVTR235294","","After The Lovin'","engelbert humperdinck","","","","","","","","","","","","","","",""
"RVTR337730","","Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up)","patti page","","","","","","","","","","","","","","",""
"RVTR797262","","Warmed Over Kisses (Left Over Love)","brian hyland","","","","","","","","","","","","","","",""
"RVTR153333","","At Midnight (My Love Will Lift You Up)","rufus","","","","","","","","","","","","","","",""
"RVTR315437","","Love Theme From ""The Godfather"" (Speak Softly Love)","andy williams","","","","","","","","","","","","","","",""
"RVTR778571","","After The Summer's Gone","pc quest","","","","","","","","","","","","","","",""
"RVTR167151","","5 D (Fifth Dimension)","The Byrds","","","","","","","","","","","","","","",""
"RVTR017747","","I'm A Drifter","bobby goldsboro","","","","","","","","","","","","","","",""
"RVTR797635","","Day After Day (It's Slippin' Away)","shango","","","","","","","","","","","","","","",""
"RVTR540115","","She Got The Goldmine (i Got The Shaft)","jerry reed","","","","","","","","","","","","","","",""
"RVTR737715","","Cloudy Summer Afternoon (Raindrops)","barry mcguire","","","","","","","","","","","","","","",""
"RVTR123615","","Repeat After Me (Interlude)","The Weeknd","","","","","","","","","","","","","","",""
"RVTR414886","","Nothin' Left","morgan wallen","","","","","","","","","","","","","","",""
"RVTR510328","","The One Rose (That's Left In My Heart)","teresa brewer","","","","","","","","","","","","","","",""
"RVTR020509","","For You (Fifty Shades Freed)","liam payne","","","","","","","","","","","","","","",""
"RVTR326234","","The Day That She Left Tulsa (In A Chevy)","wade hayes","","","","","","","","","","","","","","",""
"RVTR292314","","Don't Let Your Left Hand Know","joe tex","","","","","","","","","","","","","","",""
"RVTR915490","","Driftin' Blues","bobby bland","","","","","","","","","","","","","","",""
"RVTR846047","","Misty","""groove"" holmes","","","","","","","","","","","","","","",""
"RVTR108692","","What Now My Love","""groove"" holmes","","","","","","","","","","","","","","",""
"RVTR033074","","May The Bird Of Paradise Fly Up Your Nose","""little"" jimmy dickens","","","","","","","","","","","","","","",""
"RVTR510953","","I Know I Know","""pookie"" hudson","","","","","","","","","","","","","","",""
"RVTR690612","","Doja","$not","","","","","","","","","","","","","","",""
"RVTR977146","","Burgundy","$uicideboy$","","","","","","","","","","","","","","",""
"RVTR532820","","Count Your Blessings","$uicideboy$","","","","","","","","","","","","","","",""
"RVTR793771","","Napoleon","$uicideboy$","","","","","","","","","","","","","","",""
"RVTR138620","","Oh What A Wretched Man I Am","$uicideboy$","","","","","","","","","","","","","","",""
"RVTR098516","","The Thin Grey Line","$uicideboy$","","","","","","","","","","","","","","",""
"RVTR369140","","Thorns","$uicideboy$","","","","","","","","","","","","","","",""
"RVTR425842","","Us Vs Them","$uicideboy$","","","","","","","","","","","","","","",""
"RVTR854173","","Now And At The Hour Of Our Death","$uicideboy$ X Bones","","","","","","","","","","","","","","",""
"RVTR875678","","Better Place","*nsync","","","","","","","","","","","","","","",""
"RVTR589666","","Music Of My Heart","*nsync","","","","","","","","","","","","","","",""
"RVTR008775","","Do Da What","1 of the girls","","","","","","","","","","","","","","",""
"RVTR057442","","Because The Night","10,000 maniacs","","","","","","","","","","","","","","",""
"RVTR453906","","Few And Far Between","10,000 maniacs","","","","","","","","","","","","","","",""
"RVTR871915","","3Am On Glenwood","21 savage","","","","","","","","","","","","","","",""
"RVTR773783","","All Of Me","21 savage","","","","","","","","","","","","","","",""
