rvtr,rvar,track_title,track_artist,album_id,rval,album_title,album_artist,release_year,first_billboard_200_date,chronology_value,track_position,artwork_available,relationship_sources,cross_artist,duplicate_rows_removed,current_primary_heuristic,historical_album,artwork_album
"RVTR000205","RVAR001763","Falling In Love Is Hard On The Knees","aerosmith","25715","RVAL783132","Nine Lives","RVAR001763","1997","1997-04-05","release_year:1997","2","yes","canonical_album_tracks|canonical_album_tracks","no","0","25699","25715","25715"
"RVTR000582","RVAR000918","Inner City Blues Make Me Wanna Holler","marvin gaye","23745","RVAL369283","What's Going On","RVAR000918","1971","1971-06-12","release_year:1971","9","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","23722","23745","23745"
"RVTR000698","RVAR001914","Caribbean Blue","enya","26013","RVAL444287","Shepherd Moons","RVAR001914","1991","1991-12-07","release_year:1991","3","yes","canonical_track_album_links|canonical_album_tracks","no","1","26013","26013","26013"
"RVTR000816","RVAR006319","Georgia On My Mind","ray charles","37683","RVAL605289","Genius: The Ultimate Ray Charles Collection","RVAR006319","2009","2009-04-25","release_year:2009","9","yes","canonical_album_tracks|canonical_album_tracks","no","0","37685","37683","37683"
"RVTR000959","RVAR005148","Give It To Me Baby","rick james","33580","RVAL198237","Street Songs","RVAR005148","1981","1981-05-02","release_year:1981","6","yes","canonical_track_album_links|canonical_album_tracks","no","0","33579","33580","33580"
"RVTR001679","RVAR002931","Right Here","staind","28237","RVAL252202","Chapter V","RVAR002931","2005","2005-08-27","release_year:2005","2","yes","canonical_album_tracks|canonical_album_tracks","no","0","28237","28237","28237"
"RVTR001941","RVAR002986","Making Every Minute Count","spanky and our gang","28368","RVAL416388","Spanky And Our Gang","RVAR002986","1967","1967-09-09","release_year:1967","4","yes","canonical_album_tracks|canonical_album_tracks","no","0","28368","28368","28368"
"RVTR002344","RVAR008576","Wrapped Around Your Finger","The Police","42553","RVAL909994","Synchronicity","RVAR008576","1983","1983-07-02","release_year:1983","9","yes","canonical_album_tracks|canonical_album_tracks","no","0","42553","42553","42553"
"RVTR002528","RVAR001978","Angel","rod stewart","26219","RVAL189549","Never A Dull Moment","RVAR001978","1972","1972-08-12","release_year:1972","5","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","26203","26219","26219"
"RVTR002814","RVAR002845","Fine Again","seether","28057","RVAL625718","Disclaimer","RVAR002845","2002","2002-09-07","release_year:2002","3","yes","canonical_album_tracks|canonical_track_album_links|canonical_album_tracks","no","1","28057","28057","28057"
"RVTR002832","RVAR005317","Big Machine","goo goo dolls","34031","RVAL486082","Gutterflower","RVAR005317","2002","2002-04-27","release_year:2002","8","yes","canonical_album_tracks|canonical_album_tracks","no","0","34031","34031","34031"
"RVTR002978","RVAR004068","My Life","billy joel","30861","RVAL482228","52nd Street","RVAR004068","1978","1978-10-28","release_year:1978","3","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","30860","30861","30861"
"RVTR003270","RVAR004494","Change Clothes","jay-z","31821","RVAL047137","The Black Album","RVAR004494","2003","2003-11-29","release_year:2003","5","yes","canonical_album_tracks|canonical_album_tracks","no","0","31821","31821","31821"
"RVTR003583","RVAR002505","Can'T Get Enough","bad company","27329","RVAL961789","Bad Company","RVAR002505","1974","1974-07-27","release_year:1974","1","yes","canonical_album_tracks|canonical_album_tracks","no","0","27329","27329","27329"
"RVTR003974","RVAR006187","The Boys Are Back In Town","thin lizzy","37419","RVAL218482","Jailbreak","RVAR006187","1976","1976-04-17","release_year:1976","12","yes","canonical_track_album_links|canonical_album_tracks","no","1","37419","37419","37419"
"RVTR004413","RVAR006379","Love Rollercoaster","ohio players","37786","RVAL915417","Fire","RVAR006379","1974","1974-11-23","release_year:1974","15","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","37786","37786","37786"
"RVTR004611","RVAR008069","All Day And All Of The Night","The Kinks","41548","RVAL272870","Kinks-Size","RVAR008069","1965","1965-04-03","release_year:1965","1","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","41548","41548","41548"
"RVTR004664","RVAR002986","Yesterday'S Rain","spanky and our gang","28366","RVAL280302","Anything You Choose/Without Rhyme Or Reason","RVAR002986","1969","1969-02-15","release_year:1969","6","yes","canonical_album_tracks|canonical_album_tracks","no","0","28366","28366","28366"
"RVTR005324","RVAR005799","Creep","radiohead","35080","RVAL445954","Pablo Honey","RVAR005799","1993","1993-05-29","release_year:1993","10","yes","canonical_track_album_links|canonical_album_tracks","no","1","35080","35080","35082"
"RVTR005579","RVAR008038","The Ballad Of John And Yoko","The Beatles","41409","RVAL797131","Hey Jude","RVAR008038","1970","1970-03-21","release_year:1970","10","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","41409","41409","41437"
"RVTR006254","RVAR002912","The Other Side","jason derulo","28191","RVAL850699","Talk Dirty","RVAR002912","2014","2014-05-03","release_year:2014","8","yes","canonical_album_tracks|canonical_album_tracks","no","0","28190","28191","28191"
"RVTR006340","RVAR007279","Only Happy When It Rains","garbage","39785","RVAL582600","Garbage","RVAR007279","1995","1995-09-30","release_year:1995","3","yes","canonical_album_tracks|canonical_track_album_links","no","1","39782","39785","39785"
"RVTR006415","RVAR007125","Stranger In Town","toto","39480","RVAL510599","Isolation","RVAR007125","1984","1984-11-24","release_year:1984","3","yes","canonical_album_tracks|canonical_track_album_links","no","1","39480","39480","39480"
"RVTR008261","RVAR005676","Turn The World Around","eddy arnold","34788","RVAL405504","Turn The World Around","RVAR005676","1967","1967-10-07","release_year:1967","3","yes","canonical_track_album_links|canonical_album_tracks","no","1","34788","34788","34788"
