rvtr,rvar,track_title,track_artist,album_id,rval,album_title,album_artist,release_year,first_billboard_200_date,chronology_value,track_position,artwork_available,relationship_sources,cross_artist,duplicate_rows_removed,current_primary_heuristic,historical_album,artwork_album
"RVTR000205","RVAR001763","Falling In Love Is Hard On The Knees","aerosmith","25715","RVAL783132","Nine Lives","RVAR001763","1997","1997-04-05","release_year:1997","2","yes","canonical_album_tracks|canonical_album_tracks","no","0","25699","25715","25715"
"RVTR000205","RVAR001763","Falling In Love Is Hard On The Knees","aerosmith","25699","RVAL317984","A Little South Of Sanity","RVAR001763","1998","1998-11-07","release_year:1998","3","yes","canonical_album_tracks|canonical_album_tracks","no","0","25699","25715","25715"
"RVTR000247","RVAR004986","Stronger Woman","jewel","33166","RVAL910107","Perfectly Clear","RVAR004986","2008","2008-06-21","release_year:2008","9","yes","canonical_track_album_links","no","1","33166","33166","33166"
"RVTR000277","RVAR004700","Only One Road","celine dion","32387","RVAL980484","My Love: Essential Collection","RVAR004700","2008","2008-11-15","release_year:2008","5","yes","canonical_track_album_links","no","1","32387","32387","32387"
"RVTR000354","RVAR004091","Have Yourself A Merry Little Christmas","michael buble","30913","RVAL060908","Christmas","RVAR004091","2011","2011-11-12","release_year:2011","12","yes","canonical_track_album_links","no","1","30913","30913","30913"
"RVTR000403","RVAR004102","I Don'T Want To Live Without You","foreigner","30938","RVAL910419","Inside Information","RVAR004102","1987","1987-12-26","release_year:1987","4","yes","canonical_album_tracks","no","0","30938","30938","30938"
"RVTR000415","RVAR003631","Where It Ends","bailey zimmerman","43511","RVAL000064","Religiously. The Album.","RVAR003631","2023","","release_year:2023","12","yes","canonical_album_tracks","no","0","43511","43511","43511"
"RVTR000524","RVAR006170","Pop Lock Drop It","huey","37408","RVAL034292","Notebook Paper","RVAR006170","2007","2007-07-07","release_year:2007","4","no","canonical_album_tracks","no","0","37408","37408",""
"RVTR000582","RVAR000918","Inner City Blues Make Me Wanna Holler","marvin gaye","23745","RVAL369283","What's Going On","RVAR000918","1971","1971-06-12","release_year:1971","9","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","23722","23745","23745"
"RVTR000582","RVAR000918","Inner City Blues Make Me Wanna Holler","marvin gaye","23732","RVAL585441","Marvin Gaye Anthology","RVAR000918","1974","1974-04-20","release_year:1974","35","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","23722","23745","23745"
"RVTR000582","RVAR000918","Inner City Blues Make Me Wanna Holler","marvin gaye","23722","RVAL909724","Every Great Hit Of Marvin Gaye","RVAR000918","1983","1983-10-22","release_year:1983","13","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","23722","23745","23745"
"RVTR000582","RVAR000918","Inner City Blues Make Me Wanna Holler","marvin gaye","23723","RVAL987569","Gold","RVAR000918","2018","2018-07-14","release_year:2018","18","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","23722","23745","23745"
