rvtr,rvar,track_title,track_artist,album_id,rval,album_title,album_artist,release_year,first_billboard_200_date,chronology_value,track_position,artwork_available,relationship_sources,cross_artist,duplicate_rows_removed,current_primary_heuristic,historical_album,artwork_album
"RVTR000205","RVAR001763","Falling In Love Is Hard On The Knees","aerosmith","25715","RVAL783132","Nine Lives","RVAR001763","1997","1997-04-05","release_year:1997","2","yes","canonical_album_tracks|canonical_album_tracks","no","0","25699","25715","25715"
"RVTR000582","RVAR000918","Inner City Blues Make Me Wanna Holler","marvin gaye","23745","RVAL369283","What's Going On","RVAR000918","1971","1971-06-12","release_year:1971","9","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","23722","23745","23745"
"RVTR000816","RVAR006319","Georgia On My Mind","ray charles","37683","RVAL605289","Genius: The Ultimate Ray Charles Collection","RVAR006319","2009","2009-04-25","release_year:2009","9","yes","canonical_album_tracks|canonical_album_tracks","no","0","37685","37683","37683"
"RVTR000959","RVAR005148","Give It To Me Baby","rick james","33580","RVAL198237","Street Songs","RVAR005148","1981","1981-05-02","release_year:1981","6","yes","canonical_track_album_links|canonical_album_tracks","no","0","33579","33580","33580"
"RVTR002528","RVAR001978","Angel","rod stewart","26219","RVAL189549","Never A Dull Moment","RVAR001978","1972","1972-08-12","release_year:1972","5","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","26203","26219","26219"
"RVTR002978","RVAR004068","My Life","billy joel","30861","RVAL482228","52nd Street","RVAR004068","1978","1978-10-28","release_year:1978","3","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","30860","30861","30861"
"RVTR006254","RVAR002912","The Other Side","jason derulo","28191","RVAL850699","Talk Dirty","RVAR002912","2014","2014-05-03","release_year:2014","8","yes","canonical_album_tracks|canonical_album_tracks","no","0","28190","28191","28191"
"RVTR006340","RVAR007279","Only Happy When It Rains","garbage","39785","RVAL582600","Garbage","RVAR007279","1995","1995-09-30","release_year:1995","3","yes","canonical_album_tracks|canonical_track_album_links","no","1","39782","39785","39785"
"RVTR008665","RVAR005344","Why Must We Wait Until Tonight","tina turner","34079","RVAL946423","What's Love Got To Do With It (Soundtrack)","RVAR005344","1993","1993-07-03","release_year:1993","1","yes","canonical_track_album_links|canonical_album_tracks","no","1","34070","34079","34079"
"RVTR008975","RVAR005344","Steamy Windows","tina turner","34072","RVAL513597","Foreign Affair","RVAR005344","1989","1989-10-07","release_year:1989","1","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","34070","34072","34072"
"RVTR009031","RVAR007576","If I Ever Lose My Faith In You","sting","40284","RVAL155418","Fields Of Gold - Best Of Sting 1984-1994","RVAR007576","1994","1994-11-26","release_year:1994","7","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","40279","40284","40284"
"RVTR010529","RVAR000855","See The Funny Little Clown","bobby goldsboro","23506","RVAL297697","Bobby Goldsboro's Greatest Hits","RVAR000855","1970","1970-07-04","release_year:1970","5","yes","canonical_album_tracks|canonical_track_album_links","no","1","23511","23506","23506"
"RVTR010665","RVAR000151","Alright","janet jackson","22089","RVAL842125","Janet Jackson's Rhythm Nation 1814","RVAR000151","1989","1989-10-07","release_year:1989","19","yes","canonical_track_album_links|canonical_album_tracks","no","1","22086","22089","22089"
"RVTR011893","RVAR000894","Something'S Got A Hold On Me","etta james","23616","RVAL097817","Etta James Rocks The House","RVAR000894","1964","1964-02-01","release_year:1964","1","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","23614","23616","23616"
"RVTR013038","RVAR007934","Daydream Believer","The Monkees","41291","RVAL532285","The Birds, The Bees & The Monkees","RVAR007934","1968","1968-05-11","release_year:1968","5","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","41281","41291","41291"
"RVTR014473","RVAR002621","When The Stars Go Blue","tim mcgraw","27500","RVAL662445","Greatest Hits Vol 2: Reflected","RVAR002621","2006","2006-04-15","release_year:2006","5","yes","canonical_album_tracks|canonical_album_tracks","no","0","27504","27500","27500"
"RVTR014791","RVAR006010","When I Think Of You","leif garrett","35522","RVAL371045","Leif Garrett","RVAR006010","1977","1977-12-17","release_year:1977","1","yes","canonical_track_album_links|canonical_album_tracks|canonical_album_tracks","no","1","35521","35522","35522"
"RVTR015792","RVAR004462","If You Only Knew","shinedown","31746","RVAL441199","The Sound Of Madness","RVAR004462","2008","2008-07-12","release_year:2008","5","yes","canonical_track_album_links|canonical_album_tracks","no","1","31745","31746","31746"
"RVTR016009","RVAR008038","If I Fell","The Beatles","41400","RVAL468343","A Hard Day's Night (Soundtrack)","RVAR008038","1964","1964-07-18","release_year:1964","5","yes","canonical_album_tracks|canonical_album_tracks|canonical_album_tracks","no","0","41418","41400","41400"
"RVTR016195","RVAR007279","Push It","garbage","39788","RVAL770184","Version 2.0","RVAR007279","1998","1998-05-30","release_year:1998","7","yes","canonical_album_tracks|canonical_album_tracks","no","0","39782","39788","39788"
"RVTR016681","RVAR005493","My Guy","mary wells","34397","RVAL339290","Mary Wells Sings My Guy","RVAR005493","1964","1964-07-25","release_year:1964","3","yes","canonical_album_tracks|canonical_track_album_links","no","1","34396","34397","34397"
"RVTR016790","RVAR004489","Sweet Memories","andy williams","31788","RVAL441367","Raindrops Keep Fallin' On My Head","RVAR004489","1970","1970-06-13","release_year:1970","3","yes","canonical_album_tracks|canonical_track_album_links","no","1","31766","31788","31788"
