rvtr,title,artist,artists,albums,release_year,chart_rows,representative_week,duplicate_identity_count,status,priority,issues
"RVTR000175","Liar Liar","The Castaways","","","","14","1965-08-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000191","Cotton Candy","lil wayne","","","","1","2025-06-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000205","Falling In Love Is Hard On The Knees","aerosmith","aerosmith","A Little South Of Sanity | Nine Lives","1997","15","1997-03-01","1","AMBIGUOUS","70","multiple_albums"
"RVTR000231","Pop Ur Sht","21 savage, young thug","","","","2","2024-01-27","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000247","Stronger Woman","jewel","jewel","Perfectly Clear","2008","10","2008-02-23","1","VALID","0",""
"RVTR000260","The Boxer","simon","","","","10","1969-04-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000277","Only One Road","celine dion","celine dion","My Love: Essential Collection","2008","3","1995-01-21","1","VALID","0",""
"RVTR000290","Style Taylor'S Version","taylor swift","","","","4","2023-11-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000294","Laugh At Me","sonny","","","","10","1965-08-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000326","Dicked Down In Dallas","trey lewis","","","","2","2020-12-12","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000344","I Need Your Loving","don gardner and dee dee ford","","","","13","1962-06-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000354","Have Yourself A Merry Little Christmas","michael buble","michael buble","Christmas","2011","4","2021-01-02","1","VALID","0",""
"RVTR000403","I Don'T Want To Live Without You","foreigner","foreigner","Inside Information","1987","17","1988-03-19","1","VALID","0",""
"RVTR000404","Tip Toe Thru' The Tulips With Me","tiny tim","","","","9","1968-05-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000415","Where It Ends","bailey zimmerman","bailey zimmerman","Religiously. The Album.","2023","27","2022-09-03","1","VALID","0",""
"RVTR000457","Now That You'Ve Gone","connie stevens","","","","7","1965-04-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000524","Pop Lock Drop It","huey","huey","Notebook Paper","2007","23","2007-03-10","1","VALID","0",""
"RVTR000538","Death By A Thousand Cuts","taylor swift","","","","1","2019-09-07","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000579","Dancing In Paradise","el coco","","","","6","1978-10-28","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000582","Inner City Blues Make Me Wanna Holler","marvin gaye","marvin gaye","Every Great Hit Of Marvin Gaye | Gold | Marvin Gaye Anthology | What's Going On","1971","9","1971-10-09","1","AMBIGUOUS","70","multiple_albums"
"RVTR000605","Nosedive","post malone","","","","2","2024-08-31","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000623","Do You Believe Me Now","jimmy wayne","jimmy wayne","Do You Believe Me Now","2008","20","2008-08-02","1","VALID","0",""
"RVTR000629","Right String But The Wrong Yo Yo","dr. feelgood and the interns","","","","3","1962-08-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000640","Expression","salt-n-pepa","","","","21","1990-03-10","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000642","Angel In Disguise","brandy","brandy","The Best Of Brandy","2005","14","1998-12-05","1","VALID","0",""
"RVTR000645","Woman To Woman","barbara mandrell","barbara mandrell","The Best Of Barbara Mandrell","1979","5","1978-03-04","1","VALID","0",""
"RVTR000663","She'S Not You","elvis presley","elvis presley","Golden Records Vol. 3","1963","10","1962-08-04","1","VALID","0",""
"RVTR000667","But I Do","bobby vinton","","","","6","1972-12-30","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000670","Wait On Love","michael bolton","michael bolton","The Hunger","1987","6","1988-05-28","1","VALID","0",""
"RVTR000698","Caribbean Blue","enya","enya","Shepherd Moons | The Very Best Of Enya","1991","8","1992-02-29","1","AMBIGUOUS","70","multiple_albums"
"RVTR000736","Sue'S Gotta Be Mine","del shannon","","","","7","1963-11-02","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000738","Baby Talk","alisha","","","","17","1985-12-21","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000799","Incomplete","sisqo","sisqo","Unleash The Dragon","1999","26","2000-06-24","1","VALID","0",""
"RVTR000815","Mill Valley","miss abrams and the strawberry point school third grade class","","","","3","1970-08-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000816","Georgia On My Mind","ray charles","ray charles","Genius: The Ultimate Ray Charles Collection | Hit The Road, Jack","2009","13","1960-09-24","1","AMBIGUOUS","70","multiple_albums"
"RVTR000882","I Wanna Get With U","guy","guy","The Future","1990","15","1990-11-10","1","VALID","0",""
"RVTR000905","Lovers By Night Strangers By Day","The Fleetwoods","","","","10","1962-10-13","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000922","The Mocking Bird","The Four Lads","","","","10","1958-11-03","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000959","Give It To Me Baby","rick james","rick james","Reflections","1984","14","1981-05-30","1","VALID","0",""
"RVTR000968","I Know What You Want","busta rhymes","","","","24","2003-03-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR000970","You'Ll Never Walk Alone","gerry and the pacemakers","gerry and the pacemakers","Gerry & The Pacemakers Greatest Hits","1965","6","1965-06-05","1","VALID","0",""
"RVTR001002","Breathe Stretch Shake","mase","mase","Welcome Back","2004","16","2004-08-28","1","VALID","0",""
"RVTR001016","King Kong Pt I","The Jimmy Castor Bunch","","","","7","1975-10-18","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001069","Nightmare","halsey","","","","11","2019-06-01","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001104","I'Ll Be Your Everything","youngstown","","","","10","1999-08-14","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001148","Fin De Semana","junior h x oscar maydon","","","","2","2023-02-11","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001162","Rib Tip'S Part 1","andre williams","","","","1","1966-01-29","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001183","Survivor I Will Survive","glee cast","","","","1","2011-12-24","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001196","Throw It In The Bag","fabolous","fabolous","Loso's Way (Soundtrack)","2009","23","2009-06-20","1","VALID","0",""
"RVTR001257","Sunflower","glen campbell","glen campbell","Southern Nights","1977","11","1977-07-09","1","VALID","0",""
"RVTR001341","When You'Re In Love With A Beautiful Woman","dr. hook","dr. hook","Pleasure + Pain","1978","25","1979-04-14","1","VALID","0",""
"RVTR001417","Remember You","wiz khalifa","","","","16","2012-12-08","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001420","New Girl Now","honeymoon suite","honeymoon suite","Honeymoon Suite","1984","7","1984-09-08","1","VALID","0",""
"RVTR001525","Make Up Your Mind","aurra","aurra","A Little Love","1982","7","1982-03-20","1","VALID","0",""
"RVTR001567","Summer Nights","glee cast","","","","1","2012-02-04","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001568","Ride Wit U","joe","joe","And Then...","2004","14","2004-03-13","1","VALID","0",""
"RVTR001650","Wild Wild West","The Escape Club","","","","27","1988-08-20","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
"RVTR001664","You Can Have Him","dionne warwick","dionne warwick","The Sensitive Sound Of Dionne Warwick","1965","6","1965-03-13","1","VALID","0",""
"RVTR001679","Right Here","staind","staind","Chapter V | Live From Mohegan Sun","2005","20","2005-06-25","1","AMBIGUOUS","70","multiple_albums"
"RVTR001700","When You Need My Love","darryl worley","darryl worley","Have You Forgotten?","2003","15","2000-06-10","1","VALID","0",""
"RVTR001756","Not A Bad Thing","justin timberlake","","","","22","2014-03-15","1","INCOMPLETE","100","missing_or_multiple_artist;missing_album;missing_release_year"
