rvtr,identitySource,artist,beforeCanonicalTitle,afterCanonicalTitle,beforeNormalizedTitleKey,afterNormalizedTitleKey,graphTitle,peakHot100
RVTR846822,hot100,zayn / taylor swift,I Don'T Wanna Live Forever Fi Feat Y Shades Darker,I Don't Wanna Live Forever (Fifty Shades Darker),i don t wanna live forever  fifty shades darker,i don't wanna live forever fifty shades darker,I Don't Wanna Live Forever (Fifty Shades Darker),2
RVTR747880,hot100,rita coolidge,Your Love Has Li Feat Ed Me Higher And Higher,(Your Love Has Lifted Me) Higher And Higher,your love has lifted me  higher and higher,your love has lifted me higher and higher,(Your Love Has Lifted Me) Higher And Higher,2
RVTR232446,hot100,The Weeknd,Earned It Fi Feat Y Shades Of Grey,Earned It (Fifty Shades Of Grey),earned it  fifty shades of grey,earned it fifty shades of grey,Earned It (Fifty Shades Of Grey),3
RVTR696237,hot100,cher,A Feat Er All Love Theme From Chances Are,"After All (Love Theme From ""Chances Are"")","after all  love theme from ""chances are""",after all love theme from chances are,"After All (Love Theme From ""Chances Are"")",6
RVTR094257,hot100,nick lachey,What'S Le Feat Of Me,What's Left Of Me,what s left of me,what's left of me,What's Left Of Me,6
RVTR057173,hot100,jackie wilson,Your Love Keeps Li Feat Ing Me Higher And Higher,(Your Love Keeps Lifting Me) Higher And Higher,your love keeps lifting me  higher and higher,your love keeps lifting me higher and higher,(Your Love Keeps Lifting Me) Higher And Higher,6
RVTR235294,hot100,engelbert humperdinck,A Feat Er The Lovin',After The Lovin',after the lovin,after the lovin',After The Lovin',8
RVTR134604,hot100,david ruffin,My Whole World Ended The Moment You Le Feat Me,My Whole World Ended (The Moment You Left Me),my whole world ended  the moment you left me,my whole world ended the moment you left me,My Whole World Ended (The Moment You Left Me),9
RVTR844978,hot100,The Temptations,I Could Never Love Another A Feat Er Loving You,I Could Never Love Another (After Loving You),i could never love another  after loving you,i could never love another after loving you,I Could Never Love Another (After Loving You),13
RVTR337730,hot100,patti page,Le Feat Right Out Of Your Heart Hi Lee Hi Lo Hi Lup Up Up,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),left right out of your heart  hi lee hi lo hi lup up up,left right out of your heart hi lee hi lo hi lup up up,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),13
RVTR203662,hot100,The Moody Blues,Tuesday A Feat Ernoon Forever A Feat Ernoon,Tuesday Afternoon (Forever Afternoon),tuesday afternoon  forever afternoon,tuesday afternoon forever afternoon,Tuesday Afternoon (Forever Afternoon),24
RVTR797262,hot100,brian hyland,Warmed Over Kisses Le Feat Over Love,Warmed Over Kisses (Left Over Love),warmed over kisses  left over love,warmed over kisses left over love,Warmed Over Kisses (Left Over Love),25
RVTR253053,hot100,frank sinatra,So Feat Ly As I Leave You,"Softly, As I Leave You","softly, as i leave you",softly as i leave you,"Softly, As I Leave You",27
RVTR153333,hot100,rufus,At Midnight My Love Will Li Feat You Up,At Midnight (My Love Will Lift You Up),at midnight  my love will lift you up,at midnight my love will lift you up,At Midnight (My Love Will Lift You Up),30
RVTR315437,hot100,andy williams,Love Theme From The Godfather Speak So Feat Ly Love,"Love Theme From ""The Godfather"" (Speak Softly Love)","love theme from ""the godfather""  speak softly love",love theme from the godfather speak softly love,"Love Theme From ""The Godfather"" (Speak Softly Love)",34
RVTR778571,hot100,pc quest,A Feat Er The Summer'S Gone,After The Summer's Gone,after the summer s gone,after the summer's gone,After The Summer's Gone,41
RVTR167151,hot100,The Byrds,5 D Fi Feat H Dimension,5 D (Fifth Dimension),5 d  fifth dimension,5 d fifth dimension,5 D (Fifth Dimension),44
RVTR017747,hot100,bobby goldsboro,I'M A Dri Feat Er,I'm A Drifter,i m a drifter,i'm a drifter,I'm A Drifter,46
RVTR086674,hot100,dierks bentley,Lot Of Leavin' Le Feat To Do,Lot Of Leavin' Left To Do,lot of leavin  left to do,lot of leavin' left to do,Lot Of Leavin' Left To Do,47
RVTR674411,hot100,jeffrey osborne,She'S On The Le Feat,She's On The Left,she s on the left,she's on the left,She's On The Left,48
RVTR637573,hot100,sam salter,A Feat Er 12 Before 6,"After 12, Before 6","after 12, before 6",after 12 before 6,"After 12, Before 6",51
RVTR805523,hot100,cheech,Black Lassie Feat Uring Johnny Stash,Black Lassie (Featuring Johnny Stash),black lassie  featuring johnny stash,black lassie featuring johnny stash,Black Lassie (Featuring Johnny Stash),55
RVTR797635,hot100,shango,Day A Feat Er Day It'S Slippin' Away,Day After Day (It's Slippin' Away),day after day  it s slippin  away,day after day it's slippin' away,Day After Day (It's Slippin' Away),57
RVTR540115,hot100,jerry reed,She Got The Goldmine I Got The Sha Feat,She Got The Goldmine (i Got The Shaft),she got the goldmine  i got the shaft,she got the goldmine i got the shaft,She Got The Goldmine (i Got The Shaft),57
RVTR473355,hot100,puddle of mudd,Dri Feat Die,Drift & Die,drift & die,drift die,Drift & Die,61
RVTR737715,hot100,barry mcguire,Cloudy Summer A Feat Ernoon Raindrops,Cloudy Summer Afternoon (Raindrops),cloudy summer afternoon  raindrops,cloudy summer afternoon raindrops,Cloudy Summer Afternoon (Raindrops),62
RVTR472626,hot100,mac miller,Party On Fi Feat H Ave,Party On Fifth Ave.,party on fifth ave.,party on fifth ave,Party On Fifth Ave.,64
RVTR553722,hot100,crash test dummies,A Feat Ernoons Coffeespoons,Afternoons & Coffeespoons,afternoons & coffeespoons,afternoons coffeespoons,Afternoons & Coffeespoons,66
RVTR123615,hot100,The Weeknd,Repeat A Feat Er Me Interlude,Repeat After Me (Interlude),repeat after me  interlude,repeat after me interlude,Repeat After Me (Interlude),69
RVTR016849,hot100,d'angelo,Le Feat Right,Left & Right,left & right,left right,Left & Right,70
RVTR294286,hot100,drama,Le Feat Right Le Feat,"Left, Right, Left","left, right, left",left right left,"Left, Right, Left",73
RVTR414886,hot100,morgan wallen,Nothin' Le Feat,Nothin' Left,nothin  left,nothin' left,Nothin' Left,73
RVTR510328,hot100,teresa brewer,The One Rose That'S Le Feat In My Heart,The One Rose (That's Left In My Heart),the one rose  that s left in my heart,the one rose that's left in my heart,The One Rose (That's Left In My Heart),75
RVTR020509,hot100,liam payne,For You Fi Feat Y Shades Freed,For You (Fifty Shades Freed),for you  fifty shades freed,for you fifty shades freed,For You (Fifty Shades Freed),76
RVTR235056,hot100,nina simone,To Be Young Gi Feat Ed And Black,"To Be Young, Gifted And Black","to be young, gifted and black",to be young gifted and black,"To Be Young, Gifted And Black",76
RVTR326234,hot100,wade hayes,The Day That She Le Feat Tulsa In A Chevy,The Day That She Left Tulsa (In A Chevy),the day that she left tulsa  in a chevy,the day that she left tulsa in a chevy,The Day That She Left Tulsa (In A Chevy),86
