focus_rvtr,focus_title,focus_artist,focus_peak_position,focus_total_chart_weeks,focus_first_chart_date,focus_last_chart_date,rank,playlist_score,fate_label,weeks_overlapping,frequency,avg_proximity,min_proximity,max_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,neighbor_rvtr,neighbor_graph_track_id,neighbor_title,neighbor_artist
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,1,1.60,core_companion,6,6,1.000,1,1,33.3,26.1,1977-05-21,1977-08-13,1,18,1977-04-16,1977-08-13,RVTR588513,1780,Got To Give It Up (Pt. I),marvin gaye
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,2,0.60,orbit_neighbor,5,5,1.800,1,2,25.0,21.7,1977-05-21,1977-06-18,1,20,1977-04-23,1977-09-03,RVTR338626,16150,Gonna Fly Now,bill conti
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,3,0.60,core_companion,4,4,1.250,1,2,17.4,17.4,1977-05-21,1977-06-11,1,23,1977-02-26,1977-07-30,RVTR401723,21605,I'm Your Boogie Man,kc and the sunshine band
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,4,0.20,recurring_neighbor,2,2,1.000,1,1,11.8,8.7,1977-08-06,1977-08-13,17,17,1977-04-23,1977-08-13,RVTR583205,4965,High School Dance,The Sylvers
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,5,0.20,recurring_neighbor,2,2,1.000,1,1,9.5,8.7,1977-05-14,1977-06-25,7,21,1977-03-19,1977-08-06,RVTR878807,26076,Lonely Boy,andrew gold
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,6,0.10,recurring_neighbor,2,2,1.500,1,2,3.3,8.7,2020-10-17,2020-10-31,1,61,2019-09-14,2020-11-07,RVTR308295,21129,Circles,post malone
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,7,0.10,recurring_neighbor,2,2,1.500,1,2,9.1,8.7,1977-06-25,1977-08-20,4,22,1977-03-26,1977-08-20,RVTR784438,9917,Feels Like The First Time,foreigner
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,8,0.10,recurring_neighbor,2,2,1.500,1,2,13.3,8.7,1977-07-16,1977-08-06,11,15,1977-02-12,1977-08-13,RVTR815712,1,Life in the Fast Lane,Eagles
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,9,0.10,recurring_neighbor,2,2,1.500,1,2,13.3,8.7,1977-07-16,1977-08-06,11,15,1977-02-12,1977-08-13,,7928,Life in the Fast Lane,Eagles
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,10,0.10,recurring_neighbor,2,2,1.500,1,2,13.3,8.7,1977-07-16,1977-08-06,11,15,1977-02-12,1977-08-13,,23521,Life In The Fast Lane,Eagles
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,11,0.10,recurring_neighbor,2,2,1.500,1,2,10.5,8.7,1977-05-14,1977-06-25,5,19,1977-03-26,1977-07-30,RVTR932299,14285,Lucille,kenny rogers
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,12,0.10,orbit_neighbor,2,2,2.000,2,2,9.1,8.7,1977-06-25,1977-07-02,1,22,1977-05-14,1977-10-08,RVTR496962,16663,Da Doo Ron Ron,shaun cassidy
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,13,0.00,passing_neighbor,1,1,1.000,1,1,4.5,4.3,1977-07-23,1977-07-23,26,22,1977-04-16,1977-09-10,RVTR970466,5890,Ariel,dean friedman
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,14,0.00,passing_neighbor,1,1,1.000,1,1,4.8,4.3,2020-10-31,2020-10-31,19,21,2020-07-25,2020-12-12,RVTR716881,5754,Be Like That,kane brown
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,15,0.00,passing_neighbor,1,1,1.000,1,1,1.9,4.3,2020-10-24,2020-10-24,9,52,2020-02-08,2021-02-27,RVTR356017,20705,Before You Go,lewis capaldi
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,16,0.00,passing_neighbor,1,1,1.000,1,1,4.3,4.3,1977-07-09,1977-07-09,1,23,1977-06-11,1977-11-12,RVTR476733,21582,Best Of My Love,The Emotions
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,17,0.00,passing_neighbor,1,1,1.000,1,1,8.3,4.3,1977-05-14,1977-05-14,13,12,1977-03-19,1977-06-04,RVTR675407,13996,Can't Stop Dancin',captain
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,18,0.00,passing_neighbor,1,1,1.000,1,1,10.0,4.3,1977-04-30,1977-04-30,33,10,1977-03-19,1977-05-21,RVTR735193,22921,Cherry Baby,starz
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,19,0.00,passing_neighbor,1,1,1.000,1,1,5.0,4.3,2020-10-31,2020-10-31,2,20,2020-07-25,2020-12-05,RVTR684939,19745,Come & Go,juice wrld x marshmello
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,20,0.00,passing_neighbor,1,1,1.000,1,1,7.7,4.3,1977-05-07,1977-05-07,23,13,1977-03-12,1977-06-04,RVTR223531,4390,Dancin' Man,q
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,21,0.00,passing_neighbor,1,1,1.000,1,1,4.5,4.3,1977-07-09,1977-07-09,5,22,1977-04-23,1977-09-17,RVTR925777,6191,Do You Wanna Make Love,peter mccann
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,22,0.00,passing_neighbor,1,1,1.000,1,1,5.6,4.3,1977-07-23,1977-07-23,3,18,1977-07-09,1977-11-05,RVTR155161,2888,Don't Stop,fleetwood mac
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,23,0.00,passing_neighbor,1,1,1.000,1,1,4.5,4.3,1977-07-16,1977-07-16,4,22,1977-06-04,1977-10-29,RVTR080991,6102,Easy,commodores
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,24,0.00,passing_neighbor,1,1,1.000,1,1,2.3,4.3,2020-10-24,2020-10-24,6,43,2020-07-18,2021-05-08,RVTR289772,10566,For The Night,pop smoke
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,25,0.00,passing_neighbor,1,1,1.000,1,1,4.8,4.3,1977-05-07,1977-05-07,14,21,1977-03-12,1977-07-30,RVTR099737,32167,Heard It In A Love Song,The Marshall Tucker Band
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,26,0.00,passing_neighbor,1,1,1.000,1,1,3.2,4.3,1977-07-02,1977-07-02,1,31,1977-04-23,1977-11-19,RVTR091518,13115,I Just Want To Be Your Everything,andy gibb
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,27,0.00,passing_neighbor,1,1,1.000,1,1,9.1,4.3,1977-07-30,1977-07-30,47,11,1977-06-04,1977-08-13,RVTR388313,14118,If It's The Last Thing I Do,thelma houston
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,28,0.00,passing_neighbor,1,1,1.000,1,1,6.3,4.3,1977-07-16,1977-07-16,21,16,1977-05-07,1977-08-20,RVTR958565,6557,It's Sad To Belong,england dan
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,29,0.00,passing_neighbor,1,1,1.000,1,1,5.3,4.3,1977-07-02,1977-07-02,1,19,1977-05-07,1977-09-10,RVTR837568,17795,Looks Like We Made It,barry manilow
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,30,0.00,passing_neighbor,1,1,1.000,1,1,5.6,4.3,1977-04-23,1977-04-23,20,18,1977-04-02,1977-07-30,RVTR903443,2884,Love's Grown Deep,kenny nolan
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,31,0.00,passing_neighbor,1,1,1.000,1,1,11.1,4.3,1977-04-30,1977-04-30,37,9,1977-03-12,1977-05-07,RVTR517642,28866,Old Fashioned Boy (You're The One),stallion
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,32,0.00,passing_neighbor,1,1,1.000,1,1,3.8,4.3,2020-10-17,2020-10-17,17,26,2020-06-13,2020-12-05,RVTR840790,30711,One Of Them Girls,lee brice
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,33,0.00,passing_neighbor,1,1,1.000,1,1,16.7,4.3,1977-04-16,1977-04-16,69,6,1977-04-09,1977-05-14,RVTR351676,14786,Sound And Vision,david bowie
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,34,0.00,passing_neighbor,1,1,1.000,1,1,5.9,4.3,1977-07-30,1977-07-30,10,17,1977-07-09,1977-10-29,RVTR999069,25039,Star Wars (Main Title),london symphony orchestra
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,35,0.00,passing_neighbor,1,1,1.000,1,1,50.0,4.3,1977-08-20,1977-08-20,96,2,1977-08-20,1977-08-27,RVTR661406,24442,Turning To You,charlie
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,36,0.00,passing_neighbor,1,1,1.000,1,1,5.0,4.3,2020-11-07,2020-11-07,34,20,2020-11-07,2021-03-20,RVTR506672,21497,Tyler Herro,jack harlow
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,37,0.00,passing_neighbor,1,1,1.000,1,1,4.0,4.3,1977-04-16,1977-04-16,1,25,1977-04-02,1977-09-17,RVTR710977,24618,Undercover Angel,alan o'day
RVTR569927,Dreams,fleetwood mac,1,23,1977-04-16,2020-11-07,38,0.00,passing_neighbor,1,1,1.000,1,1,9.1,4.3,2020-11-07,2020-11-07,18,11,2020-10-17,2021-01-16,RVTR183772,27867,Wonder,shawn mendes
