focus_rvtr,focus_title,focus_peak_position,focus_total_chart_weeks,focus_first_chart_date,focus_last_chart_date,neighbor_rvtr,neighbor_title,neighbor_artist,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,weeks_overlapping,avg_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,overlap_span_weeks,fate_label,playlist_score,relationship_summary
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR416432,Dancing In The Dark,bruce springsteen,2,21,1984-05-26,1984-10-13,5,1.200,23.8,21.7,1984-06-30,1984-07-28,5,core_companion,0.90,sustained orbit; high share of focus run; usually adjacent; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR761829,Ghostbusters,ray parker jr,1,26,1984-06-16,2025-11-15,5,1.200,19.2,21.7,1984-07-21,1984-09-01,7,core_companion,0.90,sustained orbit; high share of focus run; usually adjacent; charted after focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR390469,I Can Dream About You,dan hartman,6,25,1984-05-05,1984-10-20,4,1.750,16.0,17.4,1984-06-09,1984-10-20,20,recurring_neighbor,0.40,sustained orbit; moderate share of focus run; nearby on chart; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR017740,Jump (for My Love),The Pointer Sisters,3,24,1984-04-28,1984-10-06,4,1.750,16.7,17.4,1984-06-23,1984-07-14,4,recurring_neighbor,0.40,sustained orbit; moderate share of focus run; nearby on chart; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR670006,Rock Me Tonite,billy squier,15,16,1984-07-07,1984-10-20,3,1.000,18.8,13.0,1984-09-15,1984-10-20,6,recurring_neighbor,0.40,repeat adjacency; moderate share of focus run; usually adjacent
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR378030,State of Shock,The Jacksons,3,15,1984-06-30,1984-10-06,3,1.333,20.0,13.0,1984-08-04,1984-08-18,3,recurring_neighbor,0.30,repeat adjacency; moderate share of focus run; nearby on chart
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR240450,Stuck On You,lionel richie,3,19,1984-06-23,1984-10-27,3,1.333,15.8,13.0,1984-08-18,1984-09-01,3,recurring_neighbor,0.30,repeat adjacency; moderate share of focus run; nearby on chart
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR459434,If Ever You're In My Arms Again,peabo bryson,10,25,1984-05-12,1984-10-27,3,1.667,12.0,13.0,1984-06-02,1984-10-20,21,recurring_neighbor,0.20,repeat adjacency; moderate share of focus run; nearby on chart; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR733817,What's Love Got To Do With It,tina turner,1,28,1984-05-19,1984-11-24,3,2.000,10.7,13.0,1984-08-11,1984-08-25,3,orbit_neighbor,0.20,repeat adjacency; moderate share of focus run; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR001420,New Girl Now,honeymoon suite,57,7,1984-09-08,1984-10-20,2,1.500,28.6,8.7,1984-10-13,1984-10-20,2,recurring_neighbor,0.10,repeat adjacency; nearby on chart
