rank,playlist_score,fate_label,weeks_overlapping,frequency,avg_proximity,min_proximity,max_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,neighbor_rvtr,neighbor_graph_track_id,neighbor_title,neighbor_artist
1,0.90,core_companion,5,5,1.200,1,2,23.8,21.7,1984-06-30,1984-07-28,2,21,1984-05-26,1984-10-13,RVTR416432,3564,Dancing In The Dark,bruce springsteen
2,0.90,core_companion,5,5,1.200,1,2,19.2,21.7,1984-07-21,1984-09-01,1,26,1984-06-16,2025-11-15,RVTR761829,5413,Ghostbusters,ray parker jr
3,0.40,recurring_neighbor,4,4,1.750,1,2,16.0,17.4,1984-06-09,1984-10-20,6,25,1984-05-05,1984-10-20,RVTR390469,5095,I Can Dream About You,dan hartman
4,0.40,recurring_neighbor,4,4,1.750,1,2,16.7,17.4,1984-06-23,1984-07-14,3,24,1984-04-28,1984-10-06,RVTR017740,24310,Jump (for My Love),The Pointer Sisters
5,0.40,recurring_neighbor,3,3,1.000,1,1,18.8,13.0,1984-09-15,1984-10-20,15,16,1984-07-07,1984-10-20,RVTR670006,15486,Rock Me Tonite,billy squier
6,0.30,recurring_neighbor,3,3,1.333,1,2,20.0,13.0,1984-08-04,1984-08-18,3,15,1984-06-30,1984-10-06,RVTR378030,7156,State of Shock,The Jacksons
7,0.30,recurring_neighbor,3,3,1.333,1,2,15.8,13.0,1984-08-18,1984-09-01,3,19,1984-06-23,1984-10-27,RVTR240450,21663,Stuck On You,lionel richie
8,0.20,recurring_neighbor,3,3,1.667,1,2,12.0,13.0,1984-06-02,1984-10-20,10,25,1984-05-12,1984-10-27,RVTR459434,15869,If Ever You're In My Arms Again,peabo bryson
9,0.20,orbit_neighbor,3,3,2.000,2,2,10.7,13.0,1984-08-11,1984-08-25,1,28,1984-05-19,1984-11-24,RVTR733817,27138,What's Love Got To Do With It,tina turner
10,0.10,recurring_neighbor,2,2,1.500,1,2,28.6,8.7,1984-10-13,1984-10-20,57,7,1984-09-08,1984-10-20,RVTR001420,3879,New Girl Now,honeymoon suite
11,0.10,orbit_neighbor,2,2,2.000,2,2,8.7,8.7,1984-09-01,1984-09-08,7,23,1984-05-26,1984-10-27,RVTR863761,6560,Sunglasses At Night,corey hart
12,0.00,passing_neighbor,1,1,1.000,1,1,4.0,4.3,2016-05-07,2016-05-07,17,25,2016-01-23,2016-07-09,RVTR990389,13734,2 Phones,kevin gates
13,0.00,passing_neighbor,1,1,1.000,1,1,3.8,4.3,1984-09-22,1984-09-22,1,26,1984-08-11,1985-02-02,RVTR095454,1218,Caribbean Queen (No More Love On The Run),billy ocean
14,0.00,passing_neighbor,1,1,1.000,1,1,4.0,4.3,1984-10-06,1984-10-06,4,25,1984-09-22,1985-03-09,RVTR176646,11745,Cool It Now,new edition
15,0.00,passing_neighbor,1,1,1.000,1,1,5.3,4.3,1984-09-08,1984-09-08,3,19,1984-08-04,1984-12-08,RVTR647705,18407,Drive,The Cars
16,0.00,passing_neighbor,1,1,1.000,1,1,8.3,4.3,1984-06-02,1984-06-02,38,12,1984-05-26,1984-08-11,RVTR736988,15029,Farewell My Summer Love,michael jackson
17,0.00,passing_neighbor,1,1,1.000,1,1,3.8,4.3,1984-09-15,1984-09-15,1,26,1984-08-18,1985-02-09,RVTR484947,5985,I Just Called To Say I Love You,stevie wonder
18,0.00,passing_neighbor,1,1,1.000,1,1,7.1,4.3,1984-06-16,1984-06-16,13,14,1984-04-14,1984-07-14,RVTR679676,18066,I'll Wait,van halen
19,0.00,passing_neighbor,1,1,1.000,1,1,7.1,4.3,1984-09-08,1984-09-08,12,14,1984-07-14,1984-10-13,RVTR781525,9428,Lights Out,peter wolf
20,0.00,passing_neighbor,1,1,1.000,1,1,16.7,4.3,1984-10-13,1984-10-13,71,6,1984-09-15,1984-10-20,RVTR980902,20590,Midnite Maniac,krokus
21,0.00,passing_neighbor,1,1,1.000,1,1,4.2,4.3,1984-08-25,1984-08-25,1,24,1984-06-23,1984-12-01,RVTR488553,23830,Missing You,john waite
22,0.00,passing_neighbor,1,1,1.000,1,1,6.3,4.3,1984-06-09,1984-06-09,23,16,1984-05-12,1984-08-25,RVTR395258,23180,No Way Out,jefferson starship
23,0.00,passing_neighbor,1,1,1.000,1,1,5.0,4.3,1984-06-23,1984-06-23,3,20,1984-04-07,1984-08-18,RVTR809922,31905,"Oh, Sherrie",steve perry
