chart_date,focus_position,neighbor_position,proximity,neighbor_key,neighbor_title,neighbor_artist
1984-06-02,57,55,2,RVTR628742,White Horse,laid back
1984-06-02,57,56,1,RVTR363337,Tonight,kool
1984-06-02,57,58,1,RVTR736988,Farewell My Summer Love,michael jackson
1984-06-02,57,59,2,RVTR459434,If Ever You're In My Arms Again,peabo bryson
1984-06-09,36,34,2,RVTR920094,Rock You Like A Hurricane,scorpions
1984-06-09,36,35,1,RVTR395258,No Way Out,jefferson starship
1984-06-09,36,37,1,RVTR464459,Whisper To A Scream (Birds Fly),icicle works
1984-06-09,36,38,2,RVTR390469,I Can Dream About You,dan hartman
1984-06-16,17,15,2,RVTR088449,Hello,lionel richie
1984-06-16,17,16,1,RVTR257487,You Can't Get What You Want,joe jackson
1984-06-16,17,18,1,RVTR679676,I'll Wait,van halen
1984-06-16,17,19,2,RVTR285305,Stay The Night,chicago
1984-06-23,8,6,2,RVTR136955,The Heart Of Rock & Roll,huey lewis
1984-06-23,8,7,1,RVTR017740,Jump (for My Love),The Pointer Sisters
1984-06-23,8,9,1,RVTR809922,"Oh, Sherrie",steve perry
1984-06-23,8,10,2,RVTR870229,Eyes Without A Face,billy idol
1984-06-30,3,1,2,RVTR440365,The Reflex,duran duran
1984-06-30,3,2,1,RVTR416432,Dancing In The Dark,bruce springsteen
1984-06-30,3,4,1,RVTR074426,Self Control,laura branigan
1984-06-30,3,5,2,RVTR017740,Jump (for My Love),The Pointer Sisters
1984-07-07,1,2,1,RVTR416432,Dancing In The Dark,bruce springsteen
1984-07-07,1,3,2,RVTR017740,Jump (for My Love),The Pointer Sisters
1984-07-14,1,2,1,RVTR416432,Dancing In The Dark,bruce springsteen
1984-07-14,1,3,2,RVTR017740,Jump (for My Love),The Pointer Sisters
1984-07-21,1,2,1,RVTR416432,Dancing In The Dark,bruce springsteen
1984-07-21,1,3,2,RVTR761829,Ghostbusters,ray parker jr
1984-07-28,1,2,1,RVTR761829,Ghostbusters,ray parker jr
1984-07-28,1,3,2,RVTR416432,Dancing In The Dark,bruce springsteen
1984-08-04,1,2,1,RVTR761829,Ghostbusters,ray parker jr
1984-08-04,1,3,2,RVTR378030,State of Shock,The Jacksons
1984-08-11,2,1,1,RVTR761829,Ghostbusters,ray parker jr
1984-08-11,2,3,1,RVTR378030,State of Shock,The Jacksons
1984-08-11,2,4,2,RVTR733817,What's Love Got To Do With It,tina turner
1984-08-18,4,2,2,RVTR733817,What's Love Got To Do With It,tina turner
1984-08-18,4,3,1,RVTR378030,State of Shock,The Jacksons
1984-08-18,4,5,1,RVTR240450,Stuck On You,lionel richie
1984-08-18,4,6,2,RVTR390469,I Can Dream About You,dan hartman
1984-08-25,4,2,2,RVTR733817,What's Love Got To Do With It,tina turner
1984-08-25,4,3,1,RVTR240450,Stuck On You,lionel richie
1984-08-25,4,5,1,RVTR488553,Missing You,john waite
1984-08-25,4,6,2,RVTR390469,I Can Dream About You,dan hartman
1984-09-01,5,3,2,RVTR240450,Stuck On You,lionel richie
1984-09-01,5,4,1,RVTR761829,Ghostbusters,ray parker jr
1984-09-01,5,6,1,RVTR975901,She Bop,cyndi lauper
1984-09-01,5,7,2,RVTR863761,Sunglasses At Night,corey hart
1984-09-08,11,9,2,RVTR863761,Sunglasses At Night,corey hart
1984-09-08,11,10,1,RVTR647705,Drive,The Cars
1984-09-08,11,12,1,RVTR781525,Lights Out,peter wolf
1984-09-08,11,13,2,RVTR731301,The Glamorous Life,sheila e
1984-09-15,17,15,2,RVTR615289,Dynamite,jermaine jackson
1984-09-15,17,16,1,RVTR670006,Rock Me Tonite,billy squier
1984-09-15,17,18,1,RVTR484947,I Just Called To Say I Love You,stevie wonder
1984-09-15,17,19,2,RVTR519584,When You Close Your Eyes,night ranger
1984-09-22,23,21,2,RVTR493853,We're Not Gonna Take It,twisted sister
1984-09-22,23,22,1,RVTR095454,Caribbean Queen (No More Love On The Run),billy ocean
1984-09-22,23,24,1,RVTR670006,Rock Me Tonite,billy squier
1984-09-22,23,25,2,RVTR104796,The Lucky One,laura branigan
1984-09-29,46,44,2,RVTR436737,What About Me?,kenny rogers
1984-09-29,46,45,1,RVTR807140,You Take Me Up,thompson twins
1984-09-29,46,47,1,RVTR459434,If Ever You're In My Arms Again,peabo bryson
1984-09-29,46,48,2,RVTR457133,Out Of Touch,daryl hall undefined john oates
1984-10-06,63,61,2,RVTR404966,Bouncing Off The Wall,matthew wilder
1984-10-06,63,62,1,RVTR463902,Teacher Teacher,38 special
1984-10-06,63,64,1,RVTR176646,Cool It Now,new edition
1984-10-06,63,65,2,RVTR467863,Girls With Guns,tommy shaw
1984-10-13,70,68,2,RVTR678271,I Need You Tonight,peter wolf
1984-10-13,70,69,1,RVTR001420,New Girl Now,honeymoon suite
1984-10-13,70,71,1,RVTR980902,Midnite Maniac,krokus
1984-10-13,70,72,2,RVTR185775,Say Hello To Ronnie,janey street
1984-10-20,96,94,2,RVTR459434,If Ever You're In My Arms Again,peabo bryson
1984-10-20,96,95,1,RVTR390469,I Can Dream About You,dan hartman
1984-10-20,96,97,1,RVTR670006,Rock Me Tonite,billy squier
1984-10-20,96,98,2,RVTR001420,New Girl Now,honeymoon suite
2016-05-07,20,18,2,RVTR457559,Low Life,future
2016-05-07,20,19,1,RVTR990389,2 Phones,kevin gates
2016-05-07,20,21,1,RVTR877489,Sorry,justin bieber
2016-05-07,20,22,2,RVTR578603,Oui,jeremih
2016-05-14,8,6,2,RVTR921019,Work,rihanna
2016-05-14,8,7,1,RVTR104995,Work From Home,fifth harmony
2016-05-14,8,9,1,RVTR077806,Pillowtalk,zayn
2016-05-14,8,10,2,RVTR461165,Formation,beyonce
