playlist_rank,playlist_score,rvtr,graph_track_id,title,artist,weeks_overlapping,avg_proximity,overlap_pct_of_focus,peak_position,total_chart_weeks,first_chart_date,last_chart_date,fate_label,focus_rvtr,focus_title,focus_artist
1,1.40,RVTR255081,31789,Lay Down Sally,eric clapton,7,1.286,25.9,3,23,1978-01-07,1978-06-10,core_companion,RVTR934516,Stayin' Alive,bee gees
2,0.90,RVTR794515,30206,Night Fever,bee gees,5,1.000,18.5,1,20,1978-02-04,1978-06-17,core_companion,RVTR934516,Stayin' Alive,bee gees
3,0.80,RVTR116249,12402,Emotion,samantha sang,6,1.667,22.2,3,27,1977-11-19,1978-05-20,recurring_neighbor,RVTR934516,Stayin' Alive,bee gees
4,0.80,RVTR792454,21064,Sometimes When We Touch,dan hill,5,1.200,18.5,3,22,1977-11-26,1978-04-22,core_companion,RVTR934516,Stayin' Alive,bee gees
5,0.50,RVTR221885,19153,(Love Is) Thicker Than Water,andy gibb,4,1.250,14.8,1,29,1977-11-05,1978-05-20,recurring_neighbor,RVTR934516,Stayin' Alive,bee gees
6,0.50,RVTR417751,16851,Short People,randy newman,4,1.250,14.8,2,20,1977-11-12,1978-03-25,recurring_neighbor,RVTR934516,Stayin' Alive,bee gees
7,0.40,RVTR040762,2598,Just The Way You Are,billy joel,4,1.500,14.8,3,27,1977-11-12,1978-05-13,recurring_neighbor,RVTR934516,Stayin' Alive,bee gees
8,0.40,RVTR672479,30891,Running On Empty,jackson browne,4,1.500,14.8,11,17,1978-02-11,1978-06-03,recurring_neighbor,RVTR934516,Stayin' Alive,bee gees
9,0.20,RVTR227659,1046,Can't Smile Without You,barry manilow,3,2.000,11.1,3,19,1978-02-04,1978-06-10,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
10,0.10,RVTR587830,21492,Count On Me,jefferson starship,2,1.000,7.4,8,14,1978-03-11,1978-06-10,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
11,0.10,RVTR599726,8096,Your Smiling Face,james taylor,2,1.000,7.4,20,17,1977-10-01,1978-01-21,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
12,0.10,RVTR932260,7180,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",chic,2,1.500,7.4,6,28,1977-10-29,1978-05-06,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
13,0.10,RVTR816913,16451,Do You Believe In Magic,shaun cassidy,2,1.500,7.4,31,10,1978-03-25,1978-05-27,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
14,0.10,RVTR832774,19562,Our Love,natalie cole,2,1.500,7.4,10,21,1978-01-14,1978-06-03,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
15,0.10,RVTR030562,30833,Baby Come Back,player,2,2.000,7.4,1,32,1977-10-01,1978-05-06,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
16,0.10,RVTR641536,28815,Girls' School,wings,2,2.000,7.4,33,11,1977-11-19,1978-01-28,orbit_neighbor,RVTR934516,Stayin' Alive,bee gees
17,0.00,RVTR947621,26008,Bluer Than Blue,michael johnson,1,1.000,3.7,12,16,1978-04-22,1978-08-05,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
18,0.00,RVTR286704,18423,Come Sail Away,styx,1,1.000,3.7,8,22,1977-09-24,1978-02-18,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
19,0.00,RVTR669950,11384,Darlin',paul davis,1,1.000,3.7,51,6,1978-05-20,1978-06-24,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
20,0.00,RVTR740469,18263,Desiree,neil diamond,1,1.000,3.7,16,14,1977-12-03,1978-03-04,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
21,0.00,RVTR067527,7966,Ego,elton john,1,1.000,3.7,34,8,1978-04-15,1978-06-03,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
22,0.00,RVTR870702,3087,Flash Light,parliament,1,1.000,3.7,16,16,1978-02-11,1978-05-27,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
23,0.00,RVTR091853,11345,Gettin' Ready For Love,diana ross,1,1.000,3.7,27,13,1977-11-05,1978-01-28,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
24,0.00,RVTR297301,7303,Gone Too Far,england dan,1,1.000,3.7,23,14,1977-10-01,1977-12-31,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
25,0.00,RVTR782544,5740,I Honestly Love You,olivia newton-john,1,1.000,3.7,1,24,1974-08-17,1977-12-31,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
26,0.00,RVTR835131,25993,Imaginary Lover,atlanta rhythm section,1,1.000,3.7,7,17,1978-03-04,1978-06-24,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
27,0.00,RVTR377049,25250,It's A Heartache,bonnie tyler,1,1.000,3.7,3,21,1978-03-25,1978-08-12,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
28,0.00,RVTR011909,29943,It's Late,queen,1,1.000,3.7,74,5,1978-05-13,1978-06-10,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
29,0.00,RVTR141252,20278,Love Will Find A Way,pablo cruise,1,1.000,3.7,6,18,1978-06-03,1978-09-30,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
30,0.00,RVTR782159,24744,Turn To Stone,electric light orchestra,1,1.000,3.7,13,15,1977-11-19,1978-02-25,passing_neighbor,RVTR934516,Stayin' Alive,bee gees
