rvtr,song_title,artist,current_album_relationships,proposed_primary_album,album_id,rval,position,slot_title,evidence,conflict_flags,bucket,final_confidence,write_recommendation
"RVTR008488","S O S","rihanna","none","Loud","40805","RVAL397065","1","S&M","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2010","normalized_title_mismatch; missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR014606","Little Less Sixteen Candles A Little More Touch Me","fall out boy","none","Believers Never Die: Greatest Hits","23035","RVAL814694","8","A Little Less Sixteen Candles, A Little More ""Touch Me""","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2009","normalized_title_mismatch; missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR015393","Im With You","avril lavigne","none","Let Go","31393","RVAL023148","4","I’m With You","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; existing RVAL relationship; album release year 2002","normalized_title_mismatch; missing_chart_year","H_album_title_ambiguity","0.95","remain_unresolved"
"RVTR016426","Livin' It Up","ja rule","none","Pain Is Love","38745","RVAL564838","3","Livin’ It Up","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001","missing_chart_year; multiple_rvtrs_target_same_album_track_slot","C_multiple_studio_album_candidates","0.95","bob_review"
"RVTR018991","Travelin' Prayer","billy joel","none","Opus Collection","30871","RVAL192057","2","Travelin’ Prayer","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2012","missing_chart_year","B_compilation_only","0.8","remain_unresolved"
"RVTR021886","Same Ol Situation","motley crue","none","Live: Entertainment Or Death","30411","RVAL179544","18","Same Ol' Situation","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999","missing_chart_year","D_live_recording","0.8","remain_unresolved"
"RVTR024630","Laugh Laugh","The Beau Brummels","none","The Beau Brummels","39103","RVAL418993","6","Laugh, Laugh","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1975; chart year 1965; chart/album year delta 10","chart_album_year_delta_10; artist_display_differs_from_canonical_row","G_artist_identity_conflict","0.95","bob_review"
"RVTR027266","Do You Remember Rock And Roll Radio","ramones","none","End Of The Century","41265","RVAL550200","6","Do You Remember Rock And Roll Radio","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1980","missing_chart_year; artist_display_differs_from_canonical_row","E_remix_or_alternate_version","0.95","bob_review"
"RVTR028181","Rollout My Business","ludacris","none","Word Of Mouf","24205","RVAL512613","2","Rollout (My Business)","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
"RVTR029938","Why","bronski beat","none","The Age Of Consent","25984","RVAL914477","1","Why?","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1985","missing_chart_year","A_original_studio_album_clearly_identifiable","1","promote_to_100"
