canonical_album_tracks_id,rvtr,old_canonical_track_key,proposed_canonical_track_key,album_id,album_title,rval,position,slot_title,confidence,reason,old_canonical_source,old_confidence_score,old_review_flag,old_updated_at
"496221","RVTR028181","","RVTR028181","24205","Word Of Mouf","RVAL512613","2","Rollout (My Business)","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2001","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"535802","RVTR029938","","RVTR029938","25984","The Age Of Consent","RVAL914477","1","Why?","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1985","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"451847","RVTR030079","","RVTR030079","42506","Careful","RVAL157782","8","Whose Problem?","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1980","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"478531","RVTR035840","","RVTR035840","34853","Building The Perfect Beast","RVAL974823","10","Drivin’ With Your Eyes Closed","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1984","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"388600","RVTR036292","","RVTR036292","27404","Crazy Ex-Girlfriend","RVAL041951","4","Crazy Ex‐Girlfriend","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2007","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"465517","RVTR039831","","RVTR039831","27330","Burnin' Sky","RVAL156828","1","Burnin’ Sky","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1977","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"385564","RVTR041069","","RVTR041069","26632","Kid Rock","RVAL060468","3","Feel Like Makin’ Love","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2003","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"565405","RVTR045340","","RVTR045340","43547","Hot Pink","RVAL000107","12","Juicy","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2021; chart year 2019; chart/album year delta 2","musicbrainz_ingest_approved","0.95","curated","2026-06-13 01:51:51.599322"
"479511","RVTR045850","","RVTR045850","35433","Audio Secrecy","RVAL931084","3","Digital (Did You Tell)","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2010","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"524005","RVTR058383","","RVTR058383","40744","Running With Scissors","RVAL534676","7","Polka Power!","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1999","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"415886","RVTR063784","","RVTR063784","34039","Boston","RVAL811647","3","Foreplay / Long Time","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1976","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"475717","RVTR075739","","RVTR075739","33181","Charlie Rich Sings The Songs Of Hank Williams & Others","RVAL027530","12","Your Cheatin' Heart","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1974","lineage_acoustic_recovery","0.74","review_required","2026-05-20 22:14:03.905719"
"527942","RVTR077785","","RVTR077785","43249","Holler Back","RVAL213935","4","Country Folks (Livin' Loud)","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2008","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"478970","RVTR100802","","RVTR100802","35126","A Hangover You Don't Deserve","RVAL590934","5","Ohio (Come Back To Texas)","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2004","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"436178","RVTR123406","","RVTR123406","38716","Gangsta's Paradise","RVAL285025","2","Gangsta’s Paradise","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1995","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"564445","RVTR145027","","RVTR145027","43485","This Wasn’t Meant For You Anyway","RVAL000038","2","Wish You Were Dead","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 2024","musicbrainz_ingest_approved","0.95","curated","2026-06-12 21:59:12.458267"
"407795","RVTR146378","","RVTR146378","32107","Wild-Eyed Southern Boys","RVAL358514","3","Wild‐Eyed Southern Boys","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1981","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"368707","RVTR163515","","RVTR163515","22424","The Nightfly","RVAL704416","9","I.G.Y.","1","same canonical artist identity; unique album-track candidate slot; empty canonical_track_key target slot; exact normalized track title; existing RVAL relationship; album release year 1982","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
