canonical_album_tracks_id,rvtr,old_canonical_track_key,proposed_canonical_track_key,album_id,album_title,rval,position,slot_title,confidence,reason,old_canonical_source,old_confidence_score,old_review_flag,old_updated_at
"564841","RVTR000415","","RVTR000415","43511","Religiously. The Album.","RVAL000064","12","Where It Ends","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_ingest_approved","0.95","curated","2026-06-13 01:39:05.365733"
"400831","RVTR000882","","RVTR000882","30404","The Future","RVAL029611","2","Wanna Get With U","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"381348","RVTR006587","","RVTR006587","25596","The Blues Brothers","RVAL388063","3","Gimme Some Lovin’","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"564323","RVTR007163","","RVTR007163","43476","Planet Her","RVAL000006","8","You Right","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_ingest_approved","0.95","curated","2026-06-12 20:44:53.529092"
"452557","RVTR011573","","RVTR011573","42657","Like It Is, Like It Was","RVAL535870","2","Oh, What A Day","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"542424","RVTR021425","","RVTR021425","29870","Some Tough City","RVAL923009","1","A Fine, Fine Day","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"565003","RVTR022465","","RVTR022465","43522","Celebrity","RVAL000074","1","Pop","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_ingest_approved","0.95","curated","2026-06-13 01:49:42.195817"
"542932","RVTR025240","","RVTR025240","30172","Foster Sylvers","RVAL171215","6","Hey Little Girl","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"414114","RVTR025900","","RVTR025900","33599","Hangin' Tough","RVAL494074","6","Hangin’ Tough","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_cache","0.92","ok","2026-05-20 22:14:03.905719"
"490929","RVTR027457","","RVTR027457","42738","Five O'Clock World","RVAL943020","1","Five O’Clock World","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_cache","0.88","ok","2026-05-20 22:14:03.905719"
"564803","RVTR034113","","RVTR034113","43509","The Great American Bar Scene","RVAL000062","8","Boons","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_ingest_approved","0.95","curated","2026-06-13 01:38:56.015433"
"565048","RVTR040043","","RVTR040043","43525","Stick Season (We’ll All Be Here Forever)","RVAL000077","1","Northern Attitude","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_ingest_approved","0.95","curated","2026-06-13 01:49:54.786506"
"564513","RVTR041621","","RVTR041621","43489","7","RVAL000081","8","Old Town Road","1.0","same canonical artist; exact normalized album-track title; unique unkeyed slot; chart year within one year of album release","musicbrainz_ingest_approved","0.95","curated","2026-06-12 21:59:17.851501"
