bucket,artist,title,filePath,rvtr,matchedTitle,matchedArtist,score,artistScore,titleScore,tier,assigned,assignError
auto-matched,The Animals,Please Don't Let Me Be Misunderstood  (Color),/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Animals - Please Don't Let Me Be Misunderstood (Color).mp4,RVTR619129,Please Don'T Let Me Be Misunderstood Color,The Animals,100,100,100,A,no,
auto-matched,"Taylor Swift, Alison Krauss, Vince Gill",Red (Cma Awards),"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Taylor Swift, Alison Krauss, Vince Gill - Red (Cma Awards).mp4",RVTR254821,Red Cma Awards,"Taylor Swift, Alison Krauss, Vince Gill",100,100,100,A,no,
auto-matched,The Only Way I Know,"Jason Aldean,Eric Church, Luke Bryan","/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/The Only Way I Know - Jason Aldean,Eric Church, Luke Bryan.mp4",RVTR982337,Jason Aldean Eric Church Luke Bryan,The Only Way I Know,100,100,100,A,no,
auto-matched,Elvis Costello & The Attractions,The Only Flame In Town,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Elvis Costello & The Attractions - The Only Flame In Town.mp4,RVTR706490,The Only Flame In Town,elvis costello,96,91,100,B,no,
auto-matched,The Singing Nun,Dominique & Les Pieds Des Missionnaires,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Singing Nun - Dominique & Les Pieds Des Missionnaires.mp4,RVTR116789,Dominique Les Pieds Des Missionnaires,The Singing Nun,100,100,100,A,no,
auto-matched,30 Seconds To Mars,Closer To The Edge (PO Non Break Edit*),/Users/bobhopp/DJ MEDIA/VIDEO/2010's/30 Seconds To Mars - Closer To The Edge (PO Non Break Edit_).mp4,RVTR233341,Closer To The Edge Po Non Break Edit,30 seconds to mars,100,100,100,A,no,
auto-matched,The Happenings,I Got Got Rhythm,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Happenings - I Got Rhythm  - 1967 Smothers Bros. Show (2).mp4,RVTR729350,I Got Rhythm,The Happenings,100,100,100,C,no,
auto-matched,KC & The Sunshine Band,Get Down Tonight (Tom Moulton Mix),/Users/bobhopp/DJ MEDIA/VIDEO/1970's/KC & The Sunshine Band - Get Down Tonight (Tom Moulton Mix).mp4,RVTR643247,Get Down Tonight,K.C. & The Sunshine Band,95,100,91,B,no,
auto-matched,Taylor Swift feat. Brendon Urie Of Panic! At The Disco,Me!,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Taylor Swift feat. Brendon Urie Of Panic! At The Disco - Me!.mp4,RVTR019504,Me,Taylor Swift feat. Brendon Urie Of Panic! At The Disco,100,100,100,A,no,
auto-matched,Tears for Fears (New),Everybody Wants to Rule the World (Live),/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Tears for Fears - Everybody Wants to Rule the World (Live).mp4,RVTR662496,Everybody Wants To Rule The World Live,Tears for Fears (New),100,100,100,A,no,
