bucket,artist,title,filePath,rvtr,matchedTitle,matchedArtist,score,artistScore,titleScore,tier,assigned,assignError
needs-review,Florida Georgia Line,This Is How We Roll ft. Luke Bryan,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Florida Georgia Line feat. Luke Bryan - This Is How We Roll.mp4,RVTR735236,This Is How We Roll Feat Luke Bryan,florida georgia line,83,100,71,C,no,
needs-review,Mark Ronson,Nothing Breaks Like A Heart  Ft. Miley Cyrus,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Mark Ronson feat. Miley Cyrus - Nothing Breaks Like A Heart.mp4,RVTR791369,Nothing Breaks Like A Heart Feat Miley Cyrus,mark ronson,86,100,75,C,no,
needs-review,Gladys Knight & The Pips,The Best Thing That Ever Happened,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Gladys Knight & The Pips - The Best Thing That Ever Happened.mp4,RVTR359756,The Best Thing That Ever Happened,gladys knight and the pips,92,80,100,B,no,
needs-review,Lady GaGa f./Beyonce,Telephone [PO Clean Non Break Edit*]*,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Lady GaGa f._Beyonce - Telephone _ (PO Clean Non Break Edit_).mp4,RVTR934346,Telephone,lady gaga,89,91,88,B,no,
needs-review,Blake Shelton,Boys 'Round Here Ft. Pistol Annies & Friends,/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Blake Shelton feat. Pistol Annies & Friends - Boys 'Round Here.mp4,RVTR987750,Boys 'Round Here Feat Pistol Annies Friends,blake shelton,86,100,75,C,no,
needs-review,Mitch Ryder & The Detroit Wheels,Jenny Take A Ride : C C Rider,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Mitch Ryder & The Detroit Wheels - Jenny Take A Ride _ C C Rider.mp4,RVTR472998,Jenny Take A Ride C C Rider,mitch ryder and the detroit wheels,93,83,100,B,no,
needs-review,Steve Harley & Cockney Rebel,Make Me Smile (Come Up And See Me),/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Steve Harley & Cockney Rebel - Make Me Smile (Come Up And See Me).mp4,RVTR295546,Make Me Smile Come Up And See Me,steve harley and cockney rebel,92,80,100,B,no,
needs-review,The Alan Price Set,Simon Smith & The Amazing Dancing Bear (1967),/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Alan Price Set - Simon Smith & The Amazing Dancing Bear (1967).mp4,RVTR450488,Simon Smith His Amazing Dancing Bear,alan price set,77,96,63,C,no,
needs-review,Elvis Costello & The Attractions,Peace Love And Understanding,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Elvis Costello & The Attractions - Peace Love And Understanding.mp4,RVTR046322,Peace Love And Understanding,elvis costello and the attractions,92,80,100,B,no,
needs-review,Chrissy Hinde,I Shall be Released  (Bob Dylan Anniversary) (1993),/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Chrissy Hinde - I Shall be Released   (1993) (Bob Dylan Anniversary).mp4,RVTR910365,I Shall Be Released,The Box Tops,49,0,89,B,no,
