bucket,artist,title,filePath,rvtr,matchedTitle,matchedArtist,score,artistScore,titleScore,tier,assigned,assignError
no-candidate,Man From Delmonte,My Love Is Like A Gift You Can't Return,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Man From Delmonte - My Love Is Like A Gift You Can't Return.mp4,,,,0,0,0,,no,
no-candidate,Freddie Mercury & Brian May,Is This The World We Created?,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Freddie Mercury & Brian May - Is This The World We Created_.mp4,,,,0,0,0,,no,
no-candidate,Madonna,"Medley (Dress You Up, Material Girl, Like A Virgin)","/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Madonna - Medley (Dress You Up, Material Girl, Like A Virgin).MP4",,,,0,0,0,,no,
no-candidate,Judas Priest,Living After Midnight,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/00.39.24.000-Judas Priest - Living After Midnight (Philadelphia).mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/00.45.20.000-Hall & Oates / Eddie Kendricks / David Ruffin - Get Ready (Cos Here I Come) MEDLEY (Philadelphia).mp4,,,,0,0,0,,no,
no-candidate,Judas Priest,The Green Manalishi (With The Two-Pronged Crown),/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Judas Priest - The Green Manalishi (With The Two-Pronged Crown).mp4,,,,0,0,0,,no,
no-candidate,Neil Diamond,"Forever In Blue Jeans , Im A Believer , America  (2008)","/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Neil Diamond - Forever In Blue Jeans , Im A Believer , America  (2008).mp4",,,,0,0,0,,no,
no-candidate,Will Ferrell & The Channel 4 News Team,Afternoon Delight (Anchorman),/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Will Ferrell & The Channel 4 News Team - Afternoon Delight (Anchorman).mp4,,,,0,0,0,,no,
no-candidate,Grok,BTV 1967 02,/Users/bobhopp/DJ MEDIA/VIDEO/ASSETS/GENERATED/BTV 1967 02.mp4,,,,0,0,0,,no,
no-candidate,Grok,BTV 1978 01,/Users/bobhopp/DJ MEDIA/VIDEO/ASSETS/GENERATED/BTV 1978 01.mp4,,,,0,0,0,,no,
no-candidate,Ronnie Milsap,Lost In The Fifties Tonight (In The Still Of The Night),/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Ronnie Milsap - Lost In The Fifties Tonight (In The Still Of The Night).mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Saosin - Voices.mp4,,,,0,0,0,,no,
no-candidate,MC Serch,3rd Bass Medley,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/3rd Bass - Medley.mp4,,,,0,0,0,,no,
no-candidate,JMSN,Soft Spot,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/JMSN - Soft Spot.mp4,,,,0,0,0,,no,
no-candidate,"Ke$ha f./Wiz Khalifa, Andre 3000, T.I. & Lil Wayne",Sleazy Remix 2.0 (Get Sleazier),"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Ke$ha f._Wiz Khalifa, Andre 3000, T.I. & Lil Wayne - Sleazy Remix 2.0 (Get Sleazier).mp4",,,,0,0,0,,no,
no-candidate,ZZTop,Rough Boy,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/ZZTop - Rough Boy.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Sade - Feel No Pain.mp4,,,,0,0,0,,no,
no-candidate,Joan Jett,Medley,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Joan Jett - Medley.mp4,,,,0,0,0,,no,
no-candidate,Tom Jones,Medley,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Tom Jones - Medley.mp4,,,,0,0,0,,no,
no-candidate,Seether,"Gift, The","/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Seether - Gift, The.mp4",,,,0,0,0,,no,
no-candidate,Beyonce,Ego Remix,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Beyonce - Ego Remix.mp4,,,,0,0,0,,no,
no-candidate,Khruangbin,Medley,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Khruangbin - Medley.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Saja Boys - Soda Pop.mp4,,,,0,0,0,,no,
no-candidate,The Cult‌‌,Bohemia Afterdark,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The Cult‌‌ - Bohemia Afterdark.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Pearl Jam - Daughter.mp4,,,,0,0,0,,no,
no-candidate,Alt J,Left Hand Free,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Alt J - Left Hand Free.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Shontelle - Batle Cry.mp4,,,,0,0,0,,no,
no-candidate,Queen,Hammer To Fall,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Queen - Hammer To Fall.mp4,,,,0,0,0,,no,
no-candidate,Selena,Cumbia Medley,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Selena - Cumbia Medley.mp4,,,,0,0,0,,no,
no-candidate,Adam Ant,Vive Le Rock,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Adam Ant - Vive Le Rock.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Taylor Swift - Opalite.mp4,,,,0,0,0,,no,
no-candidate,Meco,Star Wars Medley,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/MECO - Star Wars Medley.mp4,,,,0,0,0,,no,
no-candidate,Sting,Driven To Tears,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Sting - Driven To Tears.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Pseudo Echo - Funkytown.mp4,,,,0,0,0,,no,
no-candidate,Jerry Lee Lewis,Medley,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Jerry Lee Lewis - Medley.mp4,,,,0,0,0,,no,
no-candidate,Ultravox,One Small Day,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Ultravox - One Small Day.mp4,,,,0,0,0,,no,
no-candidate,Austria für Afrika,Warum?,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Austria für Afrika - Warum_.mp4,,,,0,0,0,,no,
no-candidate,The Cars,Heartbeat City,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The Cars - Heartbeat City.mp4,,,,0,0,0,,no,
no-candidate,The Grass Root's,Medley,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Grass Root's - Medley.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Box Tops - The Letter.mp4,,,,0,0,0,,no,
no-candidate,The Beatles,One After 909,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - One After 909.mp4,,,,0,0,0,,no,
no-candidate,Darondo,Let My People Go,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Darondo - Let My People Go.mp4,,,,0,0,0,,no,
no-candidate,Neil Young,Powderfinger,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Neil Young - Powderfinger.mp4,,,,0,0,0,,no,
no-candidate,The Kinks,Autumn Almanac,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Kinks - Autumn Almanac.mp4,,,,0,0,0,,no,
no-candidate,Powerstation,Murderess,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Powerstation - Murderess.mp4,,,,0,0,0,,no,
no-candidate,Commander Cody,Two Triple Cheese Side Order of Fries,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Commander Cody - Two Triple Cheese Side Order of Fries.mp4,,,,0,0,0,,no,
no-candidate,Kenny Chesney,Shiftwork,/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Kenny Chesney - Shiftwork.mp4,,,,0,0,0,,no,
no-candidate,,,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Gilbert O'Sullivan - Clair.mp4,,,,0,0,0,,no,
no-candidate,Fugees,Killing Me Softly,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Fugees - Killing Me Softly.mp4,,,,0,0,0,,no,
no-candidate,Autograph,Nam Nuzhen Mir,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Autograph - Nam Nuzhen Mir.mp4,,,,0,0,0,,no,
no-candidate,The Hollies,On A Carousel,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Hollies - On A Carousel.mp4,,,,0,0,0,,no,
no-candidate,Band für Afrika,Nackt im Wind,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Band für Afrika - Nackt im Wind.mp4,,,,0,0,0,,no,
no-candidate,The Kinks,Death Of A Clown,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Kinks - Death Of A Clown.mp4,,,,0,0,0,,no,
no-candidate,Novaspace,Time After Time,/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Novaspace - Time After Time.mp4,,,,0,0,0,,no,
no-candidate,Mud,Lonely This Christmas,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Mud - Lonely This Christmas.mp4,,,,0,0,0,,no,
no-candidate,Eric Clapton,She's Waiting,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Eric Clapton - She's Waiting.mp4,,,,0,0,0,,no,
no-candidate,Pete Townshend,Rough boys,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Pete Townshend - Rough boys.mp4,,,,0,0,0,,no,
