fileArtist,fileTitle,assignedRvtr,assignedGraphTitle,canonicalRvtr,canonicalTitle,canonicalPeak,tier,score
The B-52's,Roam,RVTR307366,Roam,RVTR539573,Roam,3,B,100
KLF,3 A.M. Eternal,RVTR461306,3 A M Eternal,RVTR633543,3 A M Eternal,5,A,100
Dan & Shay,"10,000 Hours",RVTR040912,10 000 Hours,RVTR848359,10 000 Hours,4,A,100
D Angelo,Brown Sugar,RVTR414062,Brown Sugar,RVTR027013,Brown Sugar,27,B,100
'NSYNC,It's Gonna Be Me,RVTR392640,It'S Gonna Be Me,RVTR668403,It'S Gonna Be Me,1,B,100
Killers,Mr. Brightside,RVTR843135,Mr Brightside,RVTR989769,Mr Brightside,10,A,100
J Geils Band,Centerfold,RVTR231490,Centerfold,RVTR145789,Centerfold,1,B,100
J Geils Band,Love Stinks,RVTR295043,Love Stinks,RVTR737964,Love Stinks,38,B,100
J Geils Band,Freeze Frame,RVTR454258,Freeze Frame,RVTR752304,Freeze Frame,4,B,100
3 Doors Down,When I m Gone,RVTR533227,When Im Gone,RVTR694462,When I'M Gone,4,A,100
Stray Cats,(She s) Sexy & 17,RVTR343285,She S Sexy 17,RVTR194343,She'S Sexy 17,5,B,100
Rick Nelson,It s Up To You,RVTR552366,Its Up To You,RVTR896029,It'S Up To You,6,A,100
Blink 182,Whats My Age Again,RVTR105695,Whats My Age Again,RVTR750527,What'S My Age Again,58,B,100
Queen,You re My Best Friend,RVTR134032,Youre My Best Friend,RVTR084326,You'Re My Best Friend,16,A,100
Godsmack,Cryin  Like A Bitch,RVTR878081,Cryin Like A Bitch,RVTR801046,Cryin' Like A Bitch,74,A,100
Electric Boys,All Lips N  Hips,RVTR349283,All Lips N Hips,RVTR971812,All Lips N' Hips,76,A,100
Poison,Nothin  But A Good Time,RVTR444988,Nothin But A Good Time,RVTR116993,Nothin' But A Good Time,6,A,100
Bon Jovi,This Ain t A Love Song,RVTR569953,This Aint A Love Song,RVTR636324,This Ain'T A Love Song,14,A,100
All American Rejects,Move Along,RVTR700052,Move Along,RVTR929815,Move Along,15,B,100
Offspring,"You're Gonna Go Far, Kid",RVTR024389,You'Re Gonna Go Far Kid,RVTR668795,You'Re Gonna Go Far Kid,63,A,100
All American Rejects,Gives You Hell,RVTR695293,Gives You Hell,RVTR939314,Gives You Hell,4,B,100
Lenny Kravitz,Where Are We Runnin?,RVTR695331,Where Are We Runnin,RVTR753585,Where Are We Runnin',69,A,100
Smashing Pumpkins,"Tonight, Tonight",RVTR256970,Tonight Tonight,RVTR322140,Tonight Tonight,36,A,100
The Bar‐Kays,Freakshow on the Dance Floor,RVTR930634,Freakshow On The Dance Floor,RVTR787844,Freakshow On The Dance Floor,73,B,100
All American Rejects,It Ends Tonight,RVTR328425,It Ends Tonight,RVTR655020,It Ends Tonight,8,B,100
Molly Hatchet,Flirtin  With Disaster,RVTR219628,Flirtin With Disaster,RVTR435080,Flirtin' With Disaster,42,A,100
Notorious B.I.G.,Mo Money Mo Problems,RVTR738268,Mo Money Mo Problems,RVTR959356,Mo Money Mo Problems,1,B,100
Simply Red,If You Don t Know Me By Now,RVTR408363,If You Dont Know Me By Now,RVTR014107,If You Don'T Know Me By Now,1,A,100
Human League,(Keep Feeling) Fascination,RVTR993668,Keep Feeling Fascination,RVTR051426,Keep Feeling Fascination,8,A,100
John Parr,St. Elmo s Fire (Man in Motion),RVTR545448,St Elmo S Fire Man In Motion,RVTR064572,St Elmo'S Fire Man In Motion,1,B,100
Jimmy Castor Bunch,Troglodyte (Cave Man),RVTR711949,Troglodyte Cave Man,RVTR095464,Troglodyte Cave Man,6,A,100
DeFranco Family,"Heartbeat, Its A Lovebeat",RVTR793891,Heartbeat Its A Lovebeat,RVTR614730,Heartbeat It'S A Lovebeat,3,A,100
All American Rejects,Dirty Little Secret,RVTR906556,Dirty Little Secret,RVTR013980,Dirty Little Secret,9,B,100
The Foundations,"Baby, Now That I ve Found You",RVTR998749,Baby Now That I Ve Found You,RVTR786434,Baby Now That I'Ve Found You,11,A,100
Paul Lekakis,Boom Boom (Let s Go Back To My Room),RVTR715690,Boom Boom Let S Go Back To My Room,RVTR967906,Boom Boom Let'S Go Back To My Room,43,A,100
The Icicle Works,Whisper To A Scream (Birds Fly),RVTR135174,Whisper To A Scream Birds Fly,RVTR464459,Whisper To A Scream Birds Fly,37,A,100
Sanford Townsend Band,Smoke From A Distant Fire,RVTR899604,Smoke From A Distant Fire,RVTR326181,Smoke From A Distant Fire,9,B,100
'NSYNC,God Must Have Spent A Little More Time On You,RVTR289987,God Must Have Spent A Little More Time On You,RVTR163787,God Must Have Spent A Little More Time On You,8,B,100
Jazmine Sullivan,Holding You Down (Goin' In Circles),RVTR716146,Holding You Down Goin' In Circles,RVTR298013,Holding You Down Goin In Circles,60,A,100
Christopher Cross,Arthur s Theme (Best That You Can Do),RVTR725911,Arthur S Theme Best That You Can Do,RVTR402593,Arthur'S Theme Best That You Can Do,1,A,100
The Count Five,Psychotic Reaction,RVTR612821,Psychotic Reaction,RVTR378952,Psychotic Reaction,5,A,100
Fall Out Boy,"Sugar, We're Goin Down",RVTR385005,Sugar We'Re Goin Down,RVTR952830,Sugar We'Re Goin' Down,8,A,100
