fileArtist,fileTitle,filePath,currentRvtr,currentIdentitySource,currentGraphTitle,canonicalRvtr,canonicalIdentitySource,canonicalTitle,canonicalPeak,matchTier,combinedScore,conflictKind,reassignRecommended
'NSYNC,It's Gonna Be Me,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/'NSYNC - It's Gonna Be Me.mp4,RVTR392640,vdj,It'S Gonna Be Me,RVTR668403,hot100,It'S Gonna Be Me,1,B,100,graph_metadata,yes
'NSYNC,God Must Have Spent A Little More Time On You,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/'NSYNC - God Must Have Spent A Little More Time On You.mp4,RVTR289987,vdj,God Must Have Spent A Little More Time On You,RVTR163787,hot100,God Must Have Spent A Little More Time On You,8,B,100,graph_metadata,yes
"10,000 Maniacs",Because The Night (MTV Unplugged 1993),,RVTR015056,vdj,Because The Night Mtv Unplugged 1993,RVTR057442,hot100_vdj,Because The Night,11,A,0,graph_or_exact,yes
3 Doors Down,When I m Gone,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/3 Doors Down - When I m Gone.mp4,RVTR533227,vdj,When Im Gone,RVTR694462,hot100,When I'M Gone,4,A,100,graph_metadata,yes
AC/DC,Back In Black (Peanuts),,RVTR179376,vdj,Back In Black Peanuts,RVTR828046,hot100_vdj,Back In Black,37,A,0,graph_or_exact,yes
AC/DC,You Shook Me All Night Long (Live),,RVTR693931,vdj,You Shook Me All Night Long Live,RVTR698984,hot100_vdj,You Shook Me All Night Long,35,A,0,graph_or_exact,yes
All American Rejects,Move Along,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/All American Rejects - Move Along.mp4,RVTR700052,vdj,Move Along,RVTR929815,hot100_vdj,Move Along,15,B,100,graph_metadata,yes
All American Rejects,Gives You Hell,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/All American Rejects - Gives You Hell.mp4,RVTR695293,vdj,Gives You Hell,RVTR939314,hot100_vdj,Gives You Hell,4,B,100,graph_metadata,yes
All American Rejects,It Ends Tonight,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/All American Rejects - It Ends Tonight.mp4,RVTR328425,vdj,It Ends Tonight,RVTR655020,hot100_vdj,It Ends Tonight,8,B,100,graph_metadata,yes
All American Rejects,Dirty Little Secret,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/All American Rejects - Dirty Little Secret.mp4,RVTR906556,vdj,Dirty Little Secret,RVTR013980,hot100_vdj,Dirty Little Secret,9,B,100,graph_metadata,yes
Amii Stewart,Knock On Wood (2014),,RVTR758114,vdj,Knock On Wood 2014,RVTR978976,hot100_vdj,Knock On Wood,1,A,0,graph_or_exact,yes
Andy Kim,Rock Me Gently (Movies),,RVTR173040,vdj,Rock Me Gently Movies,RVTR808142,hot100_vdj,Rock Me Gently,1,A,0,graph_or_exact,yes
Anything Box,Living In Oblivion (St. James Club Mix),,RVTR762145,vdj,Living In Oblivion St James Club Mix,RVTR234790,hot100,Living In Oblivion,65,A,0,graph_or_exact,yes
B.B. King,The Thrill Is Gone  (1989),,RVTR535986,vdj,The Thrill Is Gone 1989,RVTR712644,hot100_vdj,The Thrill Is Gone,15,A,0,graph_or_exact,yes
B.B. King,The Thrill Is Gone (Live)  (1993),,RVTR182704,vdj,The Thrill Is Gone Live 1993,RVTR712644,hot100_vdj,The Thrill Is Gone,15,A,0,graph_or_exact,yes
Barry White,"Can t Get Enough Of Your Love, Babe (Dub)",,RVTR906241,vdj,Can T Get Enough Of Your Love Babe Dub,RVTR855851,hot100,Can'T Get Enough Of Your Love Babe,1,B,0,graph_or_exact,yes
Bee Gees,Tragedy (Clips),,RVTR379700,vdj,Tragedy Clips,RVTR806243,hot100_vdj,Tragedy,1,A,0,graph_or_exact,yes
Bee Gees,To Love Somebody (BW),,RVTR331204,vdj,To Love Somebody Bw,RVTR604727,hot100_vdj,To Love Somebody,17,A,0,graph_or_exact,yes
Bee Gees,Lonely Days (Live),,RVTR955298,vdj,Lonely Days Live,RVTR728658,hot100_vdj,Lonely Days,3,A,0,graph_or_exact,yes
Bee Gees,How Deep Is Your Love (1977),,RVTR298012,vdj,How Deep Is Your Love 1977,RVTR148782,hot100,How Deep Is Your Love,1,A,0,graph_or_exact,yes
Bee Gees,You Should Be Dancing (Mix),,RVTR302278,vdj,You Should Be Dancing Mix,RVTR594397,hot100_vdj,You Should Be Dancing,1,A,0,graph_or_exact,yes
