rvtr,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,artist,peakHot100,fileArtist,fileTitle,titleScore,combinedScore,filePath
RVTR846822,hot100,I Don'T Wanna Live Forever Fi Feat Y Shades Darker,i don t wanna live forever  fifty shades darker,I Don't Wanna Live Forever (Fifty Shades Darker),zayn / taylor swift,2,,,,,
RVTR747880,hot100,Your Love Has Li Feat Ed Me Higher And Higher,your love has lifted me  higher and higher,(Your Love Has Lifted Me) Higher And Higher,rita coolidge,2,,,,,
RVTR232446,hot100,Earned It Fi Feat Y Shades Of Grey,earned it  fifty shades of grey,Earned It (Fifty Shades Of Grey),The Weeknd,3,The Weeknd,Earned It,87,92,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/The Weeknd - Earned It.mp4
RVTR696237,hot100,A Feat Er All Love Theme From Chances Are,"after all  love theme from ""chances are""","After All (Love Theme From ""Chances Are"")",cher,6,,,,,
RVTR094257,hot100,What'S Le Feat Of Me,what s left of me,What's Left Of Me,nick lachey,6,,,,,
RVTR057173,hot100,Your Love Keeps Li Feat Ing Me Higher And Higher,your love keeps lifting me  higher and higher,(Your Love Keeps Lifting Me) Higher And Higher,jackie wilson,6,,,,,
RVTR235294,hot100,A Feat Er The Lovin',after the lovin,After The Lovin',engelbert humperdinck,8,Engelbert Humperdinck,After The Lovin',50,71,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Engelbert Humperdinck - After The Lovin'.mp4
RVTR134604,hot100,My Whole World Ended The Moment You Le Feat Me,my whole world ended  the moment you left me,My Whole World Ended (The Moment You Left Me),david ruffin,9,,,,,
RVTR844978,hot100,I Could Never Love Another A Feat Er Loving You,i could never love another  after loving you,I Could Never Love Another (After Loving You),The Temptations,13,,,,,
RVTR337730,hot100,Le Feat Right Out Of Your Heart Hi Lee Hi Lo Hi Lup Up Up,left right out of your heart  hi lee hi lo hi lup up up,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),patti page,13,,,,,
RVTR203662,hot100,Tuesday A Feat Ernoon Forever A Feat Ernoon,tuesday afternoon  forever afternoon,Tuesday Afternoon (Forever Afternoon),The Moody Blues,24,The Moody Blues,Tuesday Afternoon,20,54,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Moody Blues - Tuesday Afternoon.mp4
RVTR797262,hot100,Warmed Over Kisses Le Feat Over Love,warmed over kisses  left over love,Warmed Over Kisses (Left Over Love),brian hyland,25,,,,,
RVTR253053,hot100,So Feat Ly As I Leave You,"softly, as i leave you","Softly, As I Leave You",frank sinatra,27,,,,,
RVTR153333,hot100,At Midnight My Love Will Li Feat You Up,at midnight  my love will lift you up,At Midnight (My Love Will Lift You Up),rufus,30,,,,,
RVTR315437,hot100,Love Theme From The Godfather Speak So Feat Ly Love,"love theme from ""the godfather""  speak softly love","Love Theme From ""The Godfather"" (Speak Softly Love)",andy williams,34,,,,,
RVTR778571,hot100,A Feat Er The Summer'S Gone,after the summer s gone,After The Summer's Gone,pc quest,41,,,,,
RVTR167151,hot100,5 D Fi Feat H Dimension,5 d  fifth dimension,5 D (Fifth Dimension),The Byrds,44,,,,,
RVTR017747,hot100,I'M A Dri Feat Er,i m a drifter,I'm A Drifter,bobby goldsboro,46,,,,,
RVTR086674,hot100,Lot Of Leavin' Le Feat To Do,lot of leavin  left to do,Lot Of Leavin' Left To Do,dierks bentley,47,,,,,
RVTR674411,hot100,She'S On The Le Feat,she s on the left,She's On The Left,jeffrey osborne,48,,,,,
RVTR637573,hot100,A Feat Er 12 Before 6,"after 12, before 6","After 12, Before 6",sam salter,51,,,,,
RVTR805523,hot100,Black Lassie Feat Uring Johnny Stash,black lassie  featuring johnny stash,Black Lassie (Featuring Johnny Stash),cheech,55,,,,,
RVTR797635,hot100,Day A Feat Er Day It'S Slippin' Away,day after day  it s slippin  away,Day After Day (It's Slippin' Away),shango,57,,,,,
RVTR540115,hot100,She Got The Goldmine I Got The Sha Feat,she got the goldmine  i got the shaft,She Got The Goldmine (i Got The Shaft),jerry reed,57,,,,,
RVTR473355,hot100,Dri Feat Die,drift & die,Drift & Die,puddle of mudd,61,,,,,
RVTR737715,hot100,Cloudy Summer A Feat Ernoon Raindrops,cloudy summer afternoon  raindrops,Cloudy Summer Afternoon (Raindrops),barry mcguire,62,,,,,
RVTR472626,hot100,Party On Fi Feat H Ave,party on fifth ave.,Party On Fifth Ave.,mac miller,64,,,,,
RVTR553722,hot100,A Feat Ernoons Coffeespoons,afternoons & coffeespoons,Afternoons & Coffeespoons,crash test dummies,66,,,,,
RVTR123615,hot100,Repeat A Feat Er Me Interlude,repeat after me  interlude,Repeat After Me (Interlude),The Weeknd,69,,,,,
RVTR016849,hot100,Le Feat Right,left & right,Left & Right,d'angelo,70,,,,,
RVTR294286,hot100,Le Feat Right Le Feat,"left, right, left","Left, Right, Left",drama,73,,,,,
RVTR414886,hot100,Nothin' Le Feat,nothin  left,Nothin' Left,morgan wallen,73,,,,,
RVTR510328,hot100,The One Rose That'S Le Feat In My Heart,the one rose  that s left in my heart,The One Rose (That's Left In My Heart),teresa brewer,75,,,,,
RVTR020509,hot100,For You Fi Feat Y Shades Freed,for you  fifty shades freed,For You (Fifty Shades Freed),liam payne,76,,,,,
RVTR235056,hot100,To Be Young Gi Feat Ed And Black,"to be young, gifted and black","To Be Young, Gifted And Black",nina simone,76,,,,,
RVTR326234,hot100,The Day That She Le Feat Tulsa In A Chevy,the day that she left tulsa  in a chevy,The Day That She Left Tulsa (In A Chevy),wade hayes,86,,,,,
RVTR103886,hot100,Fi Feat Een Taylor'S Version,fifteen  taylor s version,Fifteen (Taylor's Version),taylor swift,88,,,,,
RVTR292314,hot100,Don'T Let Your Le Feat Hand Know,don t let your left hand know,Don't Let Your Left Hand Know,joe tex,95,,,,,
