trustScore,bucket,fileArtist,fileTitle,rvtr,graphArtist,graphTitle,identitySource,artistScore,titleScore,baseTitleScore,combinedScore,flags,filePath
13,suspicious,D Angelo,Brown Sugar,RVTR027013,d'angelo,Brown Sugar,hot100_vdj,0,100,100,55,wrong_layer,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/D Angelo - Brown Sugar.mp4
18,suspicious,DeFranco Family,"Heartbeat, Its A Lovebeat",RVTR614730,The Defranco Family,Heartbeat It'S A Lovebeat,hot100,97,20,50,52,wrong_layer|base_title_exact_surface_mismatch,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/DeFranco Family - Heartbeat, Its A Lovebeat.mp4"
20,suspicious,Trashmen,Surfinbird,RVTR404390,The Trashmen,Surfin' Bird,hot100,95,0,0,40,base_title_exact_surface_mismatch,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Trashmen - Surfinbird.mp4
22,suspicious,LL Cool J,Doin' It,RVTR627262,ll cool j,Doin It,hot100_vdj,100,0,0,42,base_title_exact_surface_mismatch,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/LL Cool J - Doin' It.mp4
22,suspicious,3OH!3,Touchin' On My,RVTR919813,3oh!3,Touchin On My,hot100,100,0,0,42,base_title_exact_surface_mismatch,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/3OH!3 - Touchin' On My.mp4
26,suspicious,The B-52's,Roam,RVTR539573,The B-52s,Roam,hot100,33,100,100,55,wrong_layer,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The B-52's - Roam.mp4
32,suspicious,Fall Out Boy,"Sugar, We're Goin Down",RVTR952830,fall out boy,Sugar We'Re Goin' Down,hot100,100,33,60,61,wrong_layer|base_title_exact_surface_mismatch,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Fall Out Boy - Sugar, We're Goin Down.mp4"
34,suspicious,Bob Dylan,It's Alright Ma (I'm Only Bleeding) (Bob Dylan Anniversary)  (1993),RVTR779669,bob dylan,It'S Alright Ma I'M Only Bleeding,vdj,100,92,90,95,title_artist_inversion,"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bob Dylan - It's Alright Ma    (1993) (Bob Dylan Anniversary, I'm Only Bleeding).mp4"
34,suspicious,Bob Dylan,It's Alright Ma (I'm Only Bleeding) (Bob Dylan Anniversary) (1965) (1993),RVTR779669,bob dylan,It'S Alright Ma I'M Only Bleeding,vdj,100,91,90,95,title_artist_inversion,/Volumes/DJ  MAIN/DJ MEDIA/VIDEO/VOBs/Bob Dylan - It's Alright Ma (I'm Only Bleeding) (Bob Dylan Anniversary)  (1993).mov
35,suspicious,The Chantays,Pipeline,RVTR377978,chantay's,Pipeline,hot100,0,100,100,55,,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Chantays - Pipeline.mp4
42,suspicious,Lou Christie,Lightnin Strikes (Midnight Special),RVTR479328,lou christie,Lightnin' Strikes,hot100,100,20,33,54,base_title_exact_surface_mismatch,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Lou Christie - Lightnin Strikes (Midnight Special).mp4
42,suspicious,The Moody Blues,Tuesday Afternoon,RVTR203662,The Moody Blues,Tuesday A Feat Ernoon Forever A Feat Ernoon,hot100,100,20,20,54,,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Moody Blues - Tuesday Afternoon.mp4
42,suspicious,Sugarhill Gang,Good Times & Rappers Delight,RVTR234403,sugarhill gang,Rapper'S Delight,hot100,100,20,20,54,,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Sugarhill Gang - Good Times & Rappers Delight.mp4
45,suspicious,The B-52's,Rock Lobster (Live),RVTR284275,The B-52s,Rock Lobster,hot100,33,95,100,52,,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The B-52's - Rock Lobster (Live).mp4
