fileArtist,fileTitle,currentRvtr,proposedRvtr,currentIdentity,proposedIdentity,confidence,simulatedBucket,containmentScore,filePath
"Alan Jackson, Jimmy Buffett",It's Five O' Clock Somewhere,RVTR853965,RVTR835994,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Alan Jackson, Jimmy Buffett - It's Five O' Clock Somewhere.mp4"
The Animals,Please Don't Let Me Be Misunderstood  (Color),RVTR619129,RVTR147877,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Animals - Please Don't Let Me Be Misunderstood (Color).mp4
"Taylor Swift, Alison Krauss, Vince Gill",Red (Cma Awards),RVTR254821,RVTR430067,vdj,hot100_vdj,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Taylor Swift, Alison Krauss, Vince Gill - Red (Cma Awards).mp4"
The Singing Nun,Dominique & Les Pieds Des Missionnaires,RVTR116789,RVTR779789,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Singing Nun - Dominique & Les Pieds Des Missionnaires.mp4
"Tyga Ft. Cedric Gervais, Wiz Khalifa & Mally Mall",Molly,RVTR846930,RVTR028931,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Tyga feat. Cedric Gervais, Wiz Khalifa & Mally Mall - Molly.mp4"
Weezer,If Youre Wondering If I Want You To I Want You To,RVTR138973,RVTR097473,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Weezer - If Youre Wondering If I Want You To I Want You To.mp4
Marvin Gaye & Tammi Terrell,Ain't No Mountain High Enough,RVTR592535,RVTR058876,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Marvin Gaye & Tammi Terrell - Ain't No Mountain High Enough.mp4
Climie Fisher,Love Changes Everything (Extended Version),RVTR137934,RVTR624801,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Climie Fisher - Love Changes Everything (Extended Version).mp4
Blake Shelton Ft. Pistol Annies & Friends,Boys 'Round Here,RVTR617029,RVTR993009,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Blake Shelton Ft. Pistol Annies & Friends - Boys 'Round Here.mp4
A$AP Rocky Ft. Skrillex & Birdy Nam Nam,Wild For The Night,RVTR068252,RVTR662430,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/A$AP Rocky feat. Skrillex & Birdy Nam Nam - Wild For The Night.mp4
The Doobie Brothers,China Grove/Listen To The Music (Live),RVTR459954,RVTR892750,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Doobie Brothers - China Grove_Listen To The Music (Live).mp4
Elton John,Goodbye Yellow Brick Road(Muppet Show 1977),RVTR852528,RVTR483649,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Elton John - Goodbye Yellow Brick Road (Muppet Show 1977).mp4
The Temptations,The Way You Do The Things You Do (Acapella),RVTR117258,RVTR593043,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Temptations - The Way You Do The Things You Do (Acapella).mp4
The Rolling Stones,You Can't Always Get What You Want  (2013),RVTR217359,RVTR769450,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Rolling Stones - You Can't Always Get What You Want  (2013).mp4
Village People,In The Navy : YMCA : You Can t Stop The Music,RVTR017033,RVTR526570,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Village People - In The Navy _ YMCA _ You Can t Stop The Music.mp4
Gloria Estefan & Miami Sound Machine,Rhythm Is Gonna Get You,RVTR374274,RVTR406174,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Gloria Estefan & Miami Sound Machine - Rhythm Is Gonna Get You.mp4
"Benny Blanco, Tainy, Selena Gomez, J Balvin",I Can't Get Enough,RVTR976119,RVTR183644,vdj,hot100,100,exact,100,"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Benny Blanco, Tainy, Selena Gomez, J Balvin - I Can't Get Enough.mp4"
David Guetta & Chris Willis f./Fergie & LMFAO,Gettin' Over You,RVTR832691,RVTR250282,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/David Guetta & Chris Willis f._Fergie & LMFAO - Gettin' Over You.mp4
The Kinks,You Really Got Me (Sexiest Babes of 60's Television),RVTR482329,RVTR483903,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Kinks - You Really Got Me (Sexiest Babes of 60's Television).mp4
Britney Spears,Hold It Against Me (Promo Only No Break Edit*),RVTR060043,RVTR946203,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Britney Spears - Hold It Against Me (Promo Only No Break Edit_).mp4
Tim Mcgraw Ft. Taylor Swift & Keith Urban,Highway Don't Care,RVTR186756,RVTR860089,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Tim Mcgraw feat. Taylor Swift & Keith Urban - Highway Don't Care.mp4
Chambers Brothers,Time Has Come Today (Live extended version),RVTR491222,RVTR514782,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Chambers Brothers - Time Has Come Today (Live extended version).mp4
The Foundations,Build Me Up Butter Cup (Something About Mary),RVTR284047,RVTR136699,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Foundations - Build Me Up Butter Cup (Something About Mary).mp4
Kenny Chesney,When The Sun Goes Down (Duet With Uncle Kracker),RVTR167220,RVTR328202,vdj,hot100_vdj,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Kenny Chesney - When The Sun Goes Down (Duet With Uncle Kracker).mp4
Post Malone feat. Morgan Wallen,I Had Some Help,RVTR753594,RVTR511514,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Post Malone feat. Morgan Wallen - I Had Some Help (Official Video).mp4
England Dan & John Ford Coley,I'd Really Love To See You Tonight,RVTR178704,RVTR287922,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/England Dan & John Ford Coley - I'd Really Love To See You Tonight.mp4
The Doobie Brothers,Jesus Is Just Alright:Listen To The Music,RVTR845211,RVTR892750,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Doobie Brothers - Jesus Is Just Alright_Listen To The Music.mp4
John Denver & Nitty Gritty Dirt Band,Thank God I'm A Country Boy,RVTR445991,RVTR633099,vdj,hot100,100,exact,100,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/John Denver & Nitty Gritty Dirt Band - Thank God I'm A Country Boy.mp4
