rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR435218,4 Non Blondes,What's Up,50,ready_for_card_assembly,12,5,12,5,5,
RVTR692555,Billy Preston,My Sweet Lord,30,ready_for_card_assembly,17,5,17,5,6,
RVTR254309,Big Country,In A Big Country,23,ready_for_card_assembly,14,8,14,8,7,
RVTR907843,Glass Tiger,Don't Forget Me When I'm Gone,23,ready_for_card_assembly,9,7,9,7,7,
RVTR129172,Rednex,Cotton Eye Joe,22,ready_for_card_assembly,13,9,13,9,6,
RVTR028969,Boston,More Than A Feeling,22,ready_for_card_assembly,15,6,15,6,7,
RVTR846133,Neil Diamond,Sweet Caroline,22,ready_for_card_assembly,18,8,18,8,7,
RVTR096039,Kiss,I Was Made For Lovin' You,22,ready_for_card_assembly,17,6,17,6,7,
RVTR920433,EMF,Unbelievable,21,ready_for_card_assembly,12,6,12,6,7,
RVTR003639,Orleans,Still The One,21,ready_for_card_assembly,13,8,13,8,7,
RVTR900474,Tears For Fears,Shout,21,ready_for_card_assembly,16,7,16,7,7,
RVTR353865,Nickelback,How You Remind Me,21,ready_for_card_assembly,9,6,9,6,7,
RVTR442816,Midnight Oil,Beds Are Burning,21,ready_for_card_assembly,12,6,12,6,6,
RVTR316416,Whitney Houston,I Wanna Dance With Somebody,21,ready_for_card_assembly,15,6,15,6,7,
RVTR508702,Outfield,Your Love,20,ready_for_card_assembly,17,7,17,7,7,
RVTR935422,Queen,Somebody To Love,20,ready_for_card_assembly,14,8,14,8,7,
RVTR123703,Lila McCann,Down Came A Blackbird,20,ready_for_card_assembly,8,4,8,4,5,
RVTR540714,Elton John,I Guess That's Why They Call It The Blues,20,ready_for_card_assembly,10,9,10,9,7,
RVTR569927,Fleetwood Mac,Dreams,19,ready_for_card_assembly,19,7,19,7,7,
RVTR881535,Filter,Take A Picture,19,ready_for_card_assembly,16,8,16,8,7,
RVTR012441,Bell Biv DeVoe,Poison,19,ready_for_card_assembly,9,6,9,6,5,
RVTR679042,Eurythmics,Would I Lie To You,19,ready_for_card_assembly,15,7,15,7,7,
RVTR164300,Jesus Jones,"Right Here, Right Now",19,ready_for_card_assembly,14,6,14,6,7,
RVTR989240,Chumbawamba,Tubthumping,19,ready_for_card_assembly,11,7,11,7,7,
RVTR205306,Pearl Jam,Alive,18,ready_for_card_assembly,19,6,19,6,7,
RVTR275965,Electric Light Orchestra,Don't Bring Me Down,18,ready_for_card_assembly,14,7,14,7,7,
RVTR008301,America,A Horse With No Name,18,ready_for_card_assembly,12,9,12,9,7,
RVTR678114,Stevie Wonder,Superstition,18,ready_for_card_assembly,9,6,9,6,6,
RVTR003521,Robert Palmer,Addicted To Love,18,ready_for_card_assembly,12,7,12,7,7,
RVTR404950,Peter Frampton,Show Me The Way,18,ready_for_card_assembly,14,8,14,8,6,
RVTR531194,A Tribe Called Quest,Can I Kick It,18,ready_for_card_assembly,12,4,12,4,3,
RVTR053089,Mark Morrison,Return Of The Mack,18,ready_for_card_assembly,12,7,12,7,6,
RVTR258344,B.J. Thomas,Raindrops Keep Falling On My Head,18,ready_for_card_assembly,15,5,15,5,7,
RVTR773043,Queen,Crazy Little Thing Called Love,18,ready_for_card_assembly,10,9,10,9,6,
RVTR976928,Journey,Lights,17,ready_for_card_assembly,17,6,17,6,7,
RVTR080991,Commodores,Easy,17,ready_for_card_assembly,7,4,7,4,6,
RVTR563699,Shaggy,It Wasn't Me,17,ready_for_card_assembly,10,7,10,7,7,
RVTR449839,Tina Turner,The Best,17,ready_for_card_assembly,10,5,10,5,6,
RVTR356489,Sammy Johns,Chevy Van,17,ready_for_card_assembly,21,7,21,7,7,
