cluster,artist,title,method,notes
"Cluster E","Randy Houser","Runnin' Outta Moonlight","B",""
"Cluster E","Willie Nelson","Mammas Don't Let Your Babies Grow Up To Be Cowboys","B",""
"Cluster E","Warren Zevon","Werewolves Of London","B",""
"Cluster A","Walter Egan","Magnet and Steel","B",""
"Cluster A","Andrew Gold","Thank You For Being A Friend","B",""
"Cluster C","ABBA","Take A Chance On Me","B",""
"Cluster C","10cc","Dreadlock Holiday","B",""
"Cluster B","Cheap Trick","Surrender","B",""
"Cluster E","Boney M.","Rivers of Babylon","B",""
"Cluster A","Billy Joel","Only The Good Die Young","B",""
"Cluster A","Barry Manilow","Copacabana","B",""
"Cluster D","Bee Gees","Tragedy","B",""
"Cluster D","Blondie","Heart Of Glass","B",""
"Cluster A","Bob Seger","Still The Same","B",""
"Cluster A","Burton Cummings","Break It To Them Gently","B",""
"Cluster C","Eddie Money","Baby Hold On","B",""
"Cluster D","DEVO","(I Can't Get No) Satisfaction","B",""
"Cluster E","Chic","Le Freak","B",""
"Cluster D","Earth, Wind & Fire","September","B",""
"Cluster B","Dire Straits","Sultans Of Swing","B",""
"Cluster C","Frankie Valli","Grease","B",""
"Cluster C","Exile","Kiss You All Over","B",""
"Cluster B","Electric Light Orchestra","Sweet Talkin' Woman","B",""
"Cluster C","Gerry Rafferty","Baker Street","B",""
"Cluster C","Kenny Rogers","The Gambler","B",""
"Cluster B","Joe Walsh","Life's Been Good","B",""
"Cluster F","Kiss","Rock And Roll All Night (Live)","B",""
"Cluster E","Steve Martin","King Tut (SNL)","B",""
"Cluster F","Linda Ronstadt","Just One Look","B",""
"Cluster C","Little River Band","Lady 1978","B",""
"Cluster A","Meat Loaf","Two Out Of Three Ain t Bad","B",""
"Cluster A","Nicolette Larson","Lotta Love","B",""
"Cluster D","Nick Gilder","Hot Child In The City","B",""
"Cluster C","Olivia Newton John","You Are The One That I Want","B",""
"Cluster B","Queen","Bicycle Race (NSFW)","B",""
"Cluster D","Ramones","I Wanna Be Sedated","B",""
"Cluster A","REO Speedwagon","Time For Me To Fly","B",""
"Cluster B","Rolling Stones","Miss You","B",""
"Cluster E","Sha Na Na","Born To Hand Jive","B",""
"Cluster E","Suzi Quatro","Stumblin' in","B",""
"Cluster B","Styx","Fooling Yourself","B",""
"Cluster D","Village People","YMCA","B",""
"Cluster B","Van Halen","Runnin' With The Devil","B",""
"Cluster D","Talking Heads","Take Me To The River","B",""
"Cluster B","Trooper","Raise A Little Hell","B",""
"Cluster F","The Beatles","A Day In The Life","B",""
"Cluster F","Three Dog Night","Shambala","B",""
"Cluster E","The Who","Baba O'riley","B",""
"Cluster D","The Cars","Just What I Needed","B",""
