cluster,artist,title,method,notes
"Cluster A","Wreckx N Effect","Rump Shaker","B",""
"Cluster D","Van Halen","Right Now","B",""
"Cluster A","US3","Cantaloop","B",""
"Cluster A","Sir Mix A Lot","Baby Got Back","B",""
"Cluster C","Ugly Kid Joe","Everything About You","B",""
"Cluster C","Red Hot Chili Peppers","Give It Away","B",""
"Cluster C","REM","Man On The Moon","B",""
"Cluster B","Prince & The New Power Generation","7","B",""
"Cluster E","Alan Jackson","Chattahoochee","B",""
"Cluster E","Captain Hollywood Project","More & More","B",""
"Cluster D","Billy Ray Cyrus","Achy Breaky Heart","B",""
"Cluster B","2 Unlimited","Twilight Zone","B",""
"Cluster C","Alice In Chains","Down In A Hole (MTV 1996)","B",""
"Cluster B","Annie Lennox","Walking on Broken Glass","B",""
"Cluster A","Arrested Development","Tennessee","B",""
"Cluster B","Bizarre Inc.","I'm Gonna Get You","B",""
"Cluster A","Bobby Brown","Humpin' Around","B",""
"Cluster D","Bon Jovi","Bed Of Roses","B",""
"Cluster B","C+C Music Factory","Gonna Make You Sweat (Everybody Dance Now)","B",""
"Cluster D","Cher with Beavis & Butt-head","I Got You Babe","B",""
"Cluster C","Cranberries","Dreams","B",""
"Cluster E","Kris Kross","Jump","B",""
"Cluster C","Cure","Friday I'm In Love","B",""
"Cluster E","En Vogue","Free Your Mind","B",""
"Cluster D","Eric Clapton","Tears In Heaven","B",""
"Cluster D","Guns N  Roses","November Rain","B",""
"Cluster B","K.W.S.","Please Don't Go","B",""
"Cluster E","House Of Pain","Jump Around","B",""
"Cluster B","Michael Jackson","Remember The Time","B",""
"Cluster E","John Anderson","Seminole Wind","B",""
"Cluster B","Madonna","Erotica","B",""
"Cluster E","Jon Secada","Just Another Day","B",""
"Cluster A","Mary J. Blige","Real Love","B",""
"Cluster D","Meat Loaf","I'd Do Anything For Love","B",""
"Cluster E","N2Deep","Back To The Hotel","B",""
"Cluster A","Naughty By Nature","Hip Hop Hooray","B",""
"Cluster D","Neil Young","Harvest Moon","B",""
"Cluster A","Paperboy","Ditty","B",""
"Cluster C","Nirvana","Lithium","B",""
"Cluster B","Snap!","Rhythm Is A Dancer","B",""
"Cluster B","Robin S.","Show Me Love","B",""
"Cluster A","Snow","Informer","B",""
"Cluster D","Confederate Railroad","Trashy Women","B",""
"Cluster C","Radiohead","Creep","B",""
"Cluster D","Sophie B. Hawkins","Damn I Wish I Was Your Lover","B",""
"Cluster A","Tony! Toni! Tone!","Feels Good","B",""
"Cluster C","Stone Temple Pilots","Creep","B",""
"Cluster C","Spin Doctors","Little Miss Can't Be Wrong","B",""
