cluster,artist,title,method,notes
"Cluster A","Wreckx N Effect","Rump Shaker","C",""
"Cluster D","Van Halen","Right Now","C",""
"Cluster A","US3","Cantaloop","C",""
"Cluster G","Sir Mix A Lot","Baby Got Back","C","seed"
"Cluster G","Ugly Kid Joe","Everything About You","C",""
"Cluster B","Red Hot Chili Peppers","Give It Away","C",""
"Cluster B","REM","Man On The Moon","C",""
"Cluster C","Prince & The New Power Generation","7","C",""
"Cluster F","Alan Jackson","Chattahoochee","C","seed"
"Cluster C","Captain Hollywood Project","More & More","C","seed"
"Cluster F","Billy Ray Cyrus","Achy Breaky Heart","C",""
"Cluster C","2 Unlimited","Twilight Zone","C",""
"Cluster B","Alice In Chains","Down In A Hole (MTV 1996)","C",""
"Cluster E","Annie Lennox","Walking on Broken Glass","C",""
"Cluster A","Arrested Development","Tennessee","C",""
"Cluster C","Bizarre Inc.","I'm Gonna Get You","C",""
"Cluster A","Bobby Brown","Humpin' Around","C",""
"Cluster D","Bon Jovi","Bed Of Roses","C",""
"Cluster C","C+C Music Factory","Gonna Make You Sweat (Everybody Dance Now)","C",""
"Cluster H","Cher with Beavis & Butt-head","I Got You Babe","C",""
"Cluster B","Cranberries","Dreams","C",""
"Cluster A","Kris Kross","Jump","C",""
"Cluster B","Cure","Friday I'm In Love","C",""
"Cluster E","En Vogue","Free Your Mind","C",""
"Cluster D","Eric Clapton","Tears In Heaven","C",""
"Cluster D","Guns N  Roses","November Rain","C","seed"
"Cluster C","K.W.S.","Please Don't Go","C",""
"Cluster A","House Of Pain","Jump Around","C","seed"
"Cluster E","Michael Jackson","Remember The Time","C",""
"Cluster F","John Anderson","Seminole Wind","C",""
"Cluster H","Madonna","Erotica","C","seed"
"Cluster E","Jon Secada","Just Another Day","C","seed"
"Cluster A","Mary J. Blige","Real Love","C",""
"Cluster D","Meat Loaf","I'd Do Anything For Love","C",""
"Cluster A","N2Deep","Back To The Hotel","C",""
"Cluster A","Naughty By Nature","Hip Hop Hooray","C",""
"Cluster D","Neil Young","Harvest Moon","C",""
"Cluster A","Paperboy","Ditty","C",""
"Cluster B","Nirvana","Lithium","C",""
"Cluster C","Snap!","Rhythm Is A Dancer","C",""
"Cluster C","Robin S.","Show Me Love","C",""
"Cluster G","Snow","Informer","C",""
"Cluster F","Confederate Railroad","Trashy Women","C",""
"Cluster B","Radiohead","Creep","C",""
"Cluster D","Sophie B. Hawkins","Damn I Wish I Was Your Lover","C",""
"Cluster A","Tony! Toni! Tone!","Feels Good","C",""
"Cluster B","Stone Temple Pilots","Creep","C","seed"
"Cluster B","Spin Doctors","Little Miss Can't Be Wrong","C",""
