rvtr,artist,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,graphTrackId,hasPrimaryVersion,repairSkipReason,skipGroup,skipGroupDetail,peakHot100
RVTR846822,zayn / taylor swift,hot100,I Don'T Wanna Live Forever Fi Feat Y Shades Darker,i don t wanna live forever  fifty shades darker,I Don't Wanna Live Forever (Fifty Shades Darker),31184,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,2
RVTR747880,rita coolidge,hot100,Your Love Has Li Feat Ed Me Higher And Higher,your love has lifted me  higher and higher,(Your Love Has Lifted Me) Higher And Higher,26695,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,2
RVTR232446,The Weeknd,hot100,Earned It Fi Feat Y Shades Of Grey,earned it  fifty shades of grey,Earned It (Fifty Shades Of Grey),1765,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,3
RVTR696237,cher,hot100,A Feat Er All Love Theme From Chances Are,"after all  love theme from ""chances are""","After All (Love Theme From ""Chances Are"")",22775,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,6
RVTR094257,nick lachey,hot100,What'S Le Feat Of Me,what s left of me,What's Left Of Me,29353,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,6
RVTR057173,jackie wilson,hot100,Your Love Keeps Li Feat Ing Me Higher And Higher,your love keeps lifting me  higher and higher,(Your Love Keeps Lifting Me) Higher And Higher,23681,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,6
RVTR235294,engelbert humperdinck,hot100,A Feat Er The Lovin',after the lovin,After The Lovin',5632,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,8
RVTR134604,david ruffin,hot100,My Whole World Ended The Moment You Le Feat Me,my whole world ended  the moment you left me,My Whole World Ended (The Moment You Left Me),22600,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,9
RVTR844978,The Temptations,hot100,I Could Never Love Another A Feat Er Loving You,i could never love another  after loving you,I Could Never Love Another (After Loving You),10287,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,13
RVTR337730,patti page,hot100,Le Feat Right Out Of Your Heart Hi Lee Hi Lo Hi Lup Up Up,left right out of your heart  hi lee hi lo hi lup up up,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),17278,true,normalized_key_mismatch,other,Clean graph title fails normalized_title_key validation,13
