rvtr,artist,title,play_count,file_path,chart_history_count,has_existing_collector
RVTR508702,"Outfield","Your Love",20,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Outfield - Your Love.mp4",1,no
RVTR935422,"Queen","Somebody To Love",20,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Queen - Somebody To Love.mp4",1,no
RVTR540714,"Elton John","I Guess That's Why They Call It The Blues",20,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Elton John - I Guess That's Why They Call It The Blues.mp4",1,no
RVTR569927,"Fleetwood Mac","Dreams",19,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Fleetwood Mac - Dreams.mp4",1,no
RVTR881535,"Filter","Take A Picture",19,"/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Filter - Take A Picture.mp4",1,no
RVTR012441,"Bell Biv DeVoe","Poison",19,"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Bell Biv DeVoe - Poison.mp4",1,no
RVTR679042,"Eurythmics","Would I Lie To You",19,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Eurythmics - Would I Lie To You.mp4",1,no
RVTR164300,"Jesus Jones","Right Here, Right Now",19,"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Jesus Jones - Right Here, Right Now.mp4",1,no
RVTR989240,"Chumbawamba","Tubthumping",19,"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Chumbawamba - Tubthumping.mp4",1,no
RVTR275965,"Electric Light Orchestra","Don't Bring Me Down",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/ELO - Don't Bring Me Down.mp4",1,no
RVTR008301,"America","A Horse With No Name",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/America - A Horse With No Name.mp4",1,no
RVTR678114,"Stevie Wonder","Superstition",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Stevie Wonder - Superstition.mp4",1,no
RVTR003521,"Robert Palmer","Addicted To Love",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Robert Palmer - Addicted To Love.mp4",1,no
RVTR404950,"Peter Frampton","Show Me The Way",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Peter Frampton - Show Me The Way.mp4",1,no
RVTR531194,"A Tribe Called Quest","Can I Kick It",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/A Tribe Called Quest - Can I Kick It.mp4",1,no
RVTR053089,"Mark Morrison","Return Of The Mack",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Mark Morrison - Return Of The Mack.mp4",1,no
RVTR773043,"Queen","Crazy Little Thing Called Love",18,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Queen - Crazy Little Thing Called Love (Official Video).mp4",1,no
RVTR976928,"Journey","Lights",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Journey - Lights.mp4",1,no
RVTR080991,"Commodores","Easy",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Commodores - Easy.mp4",1,no
RVTR563699,"Shaggy","It Wasn't Me",17,"/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Shaggy - It Wasn't Me.mp4",1,no
RVTR449839,"Tina Turner","The Best",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Tina Turner - The Best.mp4",1,no
RVTR356489,"Sammy Johns","Chevy Van",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Sammy Johns - Chevy Van.mp4",1,no
RVTR976054,"Queen","Bohemian Rhapsody (Wayne's World)",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Queen - Bohemian Rhapsody.mp4",1,no
RVTR839545,"George McCrae","Rock Your Baby",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/George McCrae - Rock Your Baby.mp4",1,no
RVTR253373,"Journey","Don't Stop Believin'",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Journey - Don't Stop Believin'.mp4",1,no
RVTR976054,"Queen","Bohemian Rhapsody",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Queen - Bohemian Rhapsody.mp4",1,no
RVTR871687,"Hues Corporation","Rock The Boat",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Hues Corporation - Rock The Boat.mp4",1,no
RVTR894824,"Poison","Every Rose Has Its Thorn",17,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Poison - Every Rose Has Its Thorn.mp4",1,no
RVTR607017,"Roxette","The Look",16,"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Roxette - The Look.mp4",1,no
