VirtualDJ file path,Artist,Title,proposed RVTR,candidate count,disposition,exact evidence,safe-to-auto-assign
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Kenny Wayne Shepherd - You Can't Judge A Book By The Cover.mp4,Kenny Wayne Shepherd,You Can't Judge A Book By The Cover,RVTR977454,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Suzanne Vega - Tom's Diner (DNA Remix).mp4,Suzanne Vega,Tom's Diner (DNA Remix),RVTR629546,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Elvis Presley - His Latest Flame Remix.mp4,Elvis Presley,His Latest Flame Remix,RVTR784906,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Dr Hook - Cover Of The Rolling Stone (1972).mp4,Dr. Hook,Cover Of The Rolling Stone (1972),RVTR829340,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/TUPAC feat. DR DRE - CALIFORNIA LOVE REMIX.mp4,TUPAC FT DR DRE,CALIFORNIA LOVE REMIX,RVTR625679,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Bo Diddley - Can't Judge A Book By The Cover.mp4,Bo Diddley,Can't Judge A Book By The Cover,RVTR517999,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Evelyn Champagne King - Love Come Down (Clean).mp4,Evelyn Champagne King,Love Come Down (Clean),RVTR217929,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
"/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Pink - F__kin' Perfect (Clean Version, Perfect).mp4",Pink,F**kin' Perfect (Perfect) (Clean Version),RVTR710937,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/The Strypes - You Can't Judge A Book By The Cover.mp4,The Strypes,You Can't Judge A Book By The Cover,RVTR228250,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Miley Cyrus - Heart Of Glass (iHeart Festival Remix).mp4,Miley Cyrus,Heart Of Glass (iHeart Festival Remix),RVTR461279,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Snoop Dogg feat. Dr. Dre - Who Am I (Clean, What's My Name).mp4",Snoop Dogg ft Dr. Dre,Who Am I (What's My Name) (Clean),RVTR035923,1,DISTINCT RECORDING,Recording/version wording may identify a different recording.,false
