VirtualDJ file path,Artist,Title,proposed RVTR,candidate count,disposition,exact evidence,safe-to-auto-assign
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Anna Järvinen - Äppelöga.mp4,Anna Järvinen,Äppelöga,RVTR000686,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/ABBA - Estoy Soñando.mp4,ABBA,Estoy Soñando,RVTR906091,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Myself Beyonce - Me & I.mp4,Myself Beyonce,Me & I,RVTR601582,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Charlotte Adigéry - Paténipat.mp4,Charlotte Adigéry,Paténipat,RVTR625435,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Superstar - Leonid & Friends.mp4,Superstar,Leonid & Friends,RVTR432424,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/The Civil Wars - Poison & Wine.mp4,The Civil Wars,Poison & Wine,RVTR342412,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Cherub - Doses & Mimosas (Video).mp4,Cherub,Doses & Mimosas,RVTR919418,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/30 Seconds To Mars - Kings & Queens.mp4,30 Seconds To Mars,Kings & Queens,RVTR321893,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/California Dreamin - Mamas & The Papas.mp4,California Dreamin,Mamas & The Papas,RVTR720633,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Livin' It Up (Friday Night) - Bell & James.mp4,Livin' It Up (Friday Night),Bell & James,RVTR987336,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Ring Of Fire - Johnny Cash & Dj Serj Moldova.mp4,Ring Of Fire,Johnny Cash & Dj Serj Moldova,RVTR144992,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Beyonce feat. Tony Sunshine - She's Like the Wind.mp4,Beyonce,She's Like the Wind feat. Tony Sunshine,RVTR308072,0,NO CANONICAL CANDIDATE,No canonical candidate selected by the existing simulation.,false
