VirtualDJ file path,Artist,Title,proposed RVTR,candidate count,disposition,exact evidence,safe-to-auto-assign
"/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/The Only Way I Know - Jason Aldean,Eric Church, Luke Bryan.mp4",The Only Way I Know,"Jason Aldean,Eric Church, Luke Bryan",RVTR982337,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR982337); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Stevie Ray Vaughan & Double Trouble - The House Is Rockin'.mp4,Stevie Ray Vaughan & Double Trouble,The House Is Rockin',RVTR261490,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR261490); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/KC & The Sunshine Band - Get Down Tonight (Tom Moulton Mix).mp4,KC & The Sunshine Band,Get Down Tonight (Tom Moulton Mix),RVTR643247,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR643247); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Supremes, Smokey Robinson - Someday We'll Be Together.mp4","The Supremes, Smokey Robinson",Someday We'll Be Together,RVTR453977,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR453977); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Shakira f._Dizzee Rascal - Loca (Freemasons Mixshow Edit_).mp4,Shakira f./Dizzee Rascal,Loca (Freemasons Mixshow Edit*),RVTR464580,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR464580); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Marilyn McCoo - Up Up & Away Last Night I Didn t Get to Sleep.mp4,Marilyn McCoo,Up Up & Away Last Night I Didn t Get to Sleep,RVTR753044,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR753044); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Tommy Boyce & Bobby Hart - I Wonder What She's Doing Tonight.mp4,Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonight,RVTR893598,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR893598); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Are There Any More Real Cowboys - Willie Nelson, Neil Young.mp4",Are There Any More Real Cowboys,"Willie Nelson, Neil Young",RVTR151888,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR151888); deterministic filename/tag noise.,true
"/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Lil' Romeo, Nick Cannon & 3Lw - Parents Just Don't Understand.mp4","Lil' Romeo, Nick Cannon & 3Lw",Parents Just Don't Understand,RVTR556852,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR556852); deterministic filename/tag noise.,true
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Edison Lighthouse - Love Grows Where My Rosemary Grows (BW).mp4,Edison Lighthouse,Love Grows Where My Rosemary Grows (BW),RVTR152919,1,SAFE TITLE NOISE,Existing simulation selected one canonical candidate (RVTR152919); deterministic filename/tag noise.,true
